featureid	rab.all	rab.win.S_M01	rab.win.S_M02	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Bifidobacterium	11.500306846491	11.4713637765066	11.5459334378387	0.00618887352489761	1.66290568700554	0.00159178800934155	0.498958333356881	0.640903680128905	0.950128624236114	0.771455517658949	0.966251295823879
Escherichia-Shigella	4.86156295016712	4.28960894155968	7.76663693856246	0.397874204261006	8.21615869215979	0.0533870995250025	0.465625000780758	0.588018806403002	0.941230756740214	0.641392642114072	0.955820759379605
Bacteroides	2.16951020163779	2.11065932965885	2.23208732626359	0.13003798152866	7.93176849149846	0.0163380004294523	0.491410723775489	0.760045677027673	0.961297265031606	0.750031506299309	0.967852875516701
Enterococcus	3.65464439156849	3.67804509860127	3.64759315491806	0.1996969824937	6.90876212253619	0.0290792307504937	0.488020833604285	0.765384396236596	0.960625091714894	0.801195227397541	0.967857488628043
[Ruminococcus]_gnavus_group	0.73530717284374	0.231062547837365	1.3409337378522	1.323895835695	6.75952817083421	0.179307170943595	0.403645835595487	0.274659002825532	0.8697299052793	0.266018023481572	0.845604906370384
Streptococcus	9.77106259537057	10.0506942173629	9.30215323951388	-0.488472251229349	2.20509380879369	-0.210710249885253	0.400520835674807	0.217198420159917	0.892902467211675	0.224921557938308	0.899607046502755
Staphylococcus	6.09922660844614	7.29337271843703	4.94867033407455	-2.38558261785169	4.557866102431	-0.47514092571308	0.288020839175289	0.00834273584790426	0.339317280777661	0.00427059050183087	0.278405173361814
unclassified_Enterobacteriaceae	6.06252270395344	6.28457142632736	5.89775279197352	0.703667725366512	8.25662274367019	0.0905003096306979	0.445601250592449	0.503149672763175	0.933799344423458	0.476858010877704	0.944934384455716
Veillonella	6.08448758497428	5.63930845693964	6.49553771137612	0.51831380763525	4.63027902994516	0.100759573351237	0.45729166763921	0.663900692972407	0.95054595420148	0.618632503499441	0.952634977106074
Haemophilus	4.58860451985574	4.6167742277851	4.55844946303383	-0.710376435575999	6.07536419202747	-0.106926016318636	0.459135867665077	0.494326340265945	0.937203583531373	0.555146504514659	0.952113177846838
Clostridium_sensu_stricto_1	4.26813890191725	3.69197338871811	5.1718692607726	-0.0474771587896994	8.04393626661651	-0.00452366105269591	0.497395833392204	0.795961943175769	0.96209318176402	0.861956854594086	0.975439691901765
