featureid	rab.all	rab.win.S_M01	rab.win.S_M02	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Bifidobacterium	11.5063838649887	11.466587770319	11.5545948466257	0.0484738241526816	1.675336946367	0.0160409867331708	0.485163977430586	0.645217970810272	0.95060582263045	0.789797093456598	0.967407842116501
Escherichia-Shigella	4.92605325406742	4.30623673312079	7.74436401482819	0.392394116825611	8.23342730005521	0.0467078217056849	0.473711609132513	0.591709152950171	0.944225690835262	0.680471927189853	0.961386362358732
Bacteroides	2.03096803714201	2.0079314937234	2.0614750146948	-0.158138765267568	8.14361300630331	-0.0170998888960975	0.487500000282747	0.729208734877842	0.956548167607191	0.72420529039763	0.963010313418241
Enterococcus	3.6141967382428	3.70079257550916	3.5125535201177	0.0980761669255887	7.13920312705475	0.0123689163762563	0.493750000141307	0.766095021774934	0.959174948367527	0.801837952569125	0.972061051562942
[Ruminococcus]_gnavus_group	0.663468946780037	0.160344234451884	1.2853305866812	1.40407064669526	6.93279614851536	0.184799502178405	0.403435712832521	0.281656454748106	0.869206109735497	0.260564647893544	0.848022814142163
Streptococcus	9.76447663753993	10.0281243214732	9.2621807844852	-0.498547138155602	2.18600942230904	-0.226690274811356	0.401874026250514	0.218486747609265	0.889049605063753	0.226318947391738	0.911383939326893
Staphylococcus	6.12068068609397	7.26806929790237	4.981830368004	-2.39377897842168	4.63574626558449	-0.453949542594777	0.285788657668697	0.00659658123041051	0.334767862146186	0.00410455842826908	0.269659400759786
unclassified_Enterobacteriaceae	6.07586933689086	6.30472044179073	5.91145054769497	0.719397452155741	8.05719119891538	0.0874541489257595	0.450000001141697	0.544316877542382	0.942918307899624	0.504961430364326	0.950568004966118
Veillonella	6.09165692926592	5.64878866041815	6.44853149962844	0.436062877139724	4.50346783788761	0.0894181967623782	0.460937500888454	0.665034065067356	0.951281773267777	0.603933909209129	0.955656107187762
Haemophilus	4.54869730241114	4.54883100013889	4.54848076533739	-0.70269010133785	6.11641142051479	-0.102242718639092	0.45729166763921	0.512913433332213	0.932797835480007	0.56308960626048	0.957313177583603
Clostridium_sensu_stricto_1	4.26619899265896	3.64413042816754	5.16895297892297	0.135195904075333	8.11152057349781	0.0174237726469524	0.494270833462862	0.79807519805838	0.961694478038339	0.8617662278334	0.976654421311433
Erysipelatoclostridium	-0.0513853526225079	-0.114082207062598	0.0428132451616694	0.377385493716988	5.44945657293663	0.0645214155806387	0.468505987179416	0.401542109842282	0.882272720070937	0.519190384200108	0.92485070923976
Lactobacillus	3.8737739620388	3.57936385658481	4.87241587533585	0.961068325983123	7.22125370216742	0.114851913432028	0.448724623762611	0.580093229773418	0.942437712935925	0.546192055930071	0.948740454585862
Lachnoclostridium	-0.17429991117936	-0.14467757515988	-0.22702852064055	0.00296490030790419	5.72164711368629	0.000443397163403709	0.499739718902286	0.642483685908673	0.949715124579634	0.579463396778337	0.94550567929595
Megasphaera	-0.401067663769047	-0.211880218363059	-0.593450466772858	-0.42891072931736	4.27492060049831	-0.0796576075627859	0.46197916753115	0.483718514402941	0.895953726076519	0.494064628559463	0.911163213198049
Sutterella	-0.196721847345588	-0.195152176679782	-0.196721847345588	-0.0689125501315937	5.99169786596261	-0.0125017343169794	0.494013534752593	0.640251113710505	0.948387630007079	0.612726213597259	0.943913890761047
Intestinibacter	-0.245598778085251	-0.362900722161887	-0.100378892214639	0.390131806560176	4.92086220469013	0.062588704451187	0.463020834173868	0.45968092763008	0.895113236002854	0.487666688302805	0.907174008962407
Parabacteroides	-0.0520169918581184	-0.168292613575291	0.0665205529793171	0.0532763502778062	7.62034403693673	0.00738574861948211	0.495575221338867	0.669066670963946	0.950516297710732	0.579294328059868	0.953381761998154
unclassified_Erysipelotrichaceae	-0.521449280022311	-0.562913623146131	-0.453193812340112	0.119615658563076	4.28516947054363	0.0218932699105675	0.48697916696121	0.499215094132103	0.924649017856089	0.553510210046281	0.944002439805346
Tyzzerella	-0.292298117137557	-0.321382957474239	-0.265765148997013	-0.00887953813223596	5.47597358698836	-0.00112307459096494	0.499219156706857	0.625160623731461	0.944652881185375	0.585700888748726	0.945258770191404
Flavonifractor	-0.620177198823825	-0.745600869543273	-0.481106369675256	0.368545173899595	4.83984677131354	0.0717304457066057	0.459375000924456	0.431690920348711	0.885049170662585	0.470420214059481	0.903090141799161
Gemella	2.58175654328512	2.77518629120988	2.40584079843641	-0.449554462437609	5.20016972536371	-0.0758858602246003	0.461738678641103	0.582767130882634	0.940609484204403	0.608401819139527	0.954901259420943
Romboutsia	-0.659885229758189	-0.630338124748731	-0.688692366585984	-0.0105515003668	4.59151809569056	-0.00139606717128137	0.498958333356881	0.537835965809027	0.918274679513361	0.548480241701711	0.924595590093325
Hungatella	-0.625412944523517	-0.611461157641565	-0.638170402787591	-0.038866133443066	4.73463291834268	-0.00685744066529575	0.497916666713763	0.544155123135346	0.92753581504027	0.530562409902811	0.937006098764603
[Clostridium]_innocuum_group	-0.501257730725584	-0.502641638754766	-0.500345472176702	-0.1456387233703	4.69137980326896	-0.0259087782116685	0.484122853039796	0.489141864017561	0.911682473773743	0.548237795201344	0.921635318569169
Rothia	4.60938103268681	4.3782685175464	4.81631066702452	0.58812441184965	5.62007510884369	0.0976831876065472	0.449765748152729	0.438026496356214	0.923013250760809	0.525521345196166	0.951979086690301
Neisseria	-0.608471058440809	-0.606912305377238	-0.609240536300001	0.127419256662377	4.30752209048276	0.0242226303880111	0.488287350603007	0.533788137603108	0.91708928776813	0.543159711080139	0.916031667198544
Corynebacterium	0.740775973319518	0.885131299016177	0.588442194961864	-0.393027759071106	4.18435535346669	-0.0747502710716707	0.457053618884367	0.535110768576688	0.912376621489642	0.567240401970957	0.936146288655904
Anaerococcus	-0.416866602149108	-0.440475987260219	-0.399769356425589	-0.0906526132334049	4.42254672222378	-0.0169423921582982	0.489583333568911	0.502942977702741	0.91306193107662	0.518956976033021	0.933000125330597
Phascolarctobacterium	-0.649514817697934	-0.608404251127008	-0.687873348973969	-0.0194217281697551	4.74819807672648	-0.00447774868229566	0.498437500035322	0.557213033812711	0.923036476391149	0.535895106508033	0.942229526961786
unclassified_Pasteurellaceae	0.123506250041006	0.249914722338877	-0.00423592942761974	-0.353500192180742	5.46449696251941	-0.0681920087388475	0.470312500673478	0.553200040204162	0.925088559729388	0.573246331982551	0.945337386227042
Epulopiscium	-0.598558290575109	-0.602459271981123	-0.595528702417949	-0.0387089853579319	4.55997462676337	-0.00644169201930215	0.496354166749087	0.54325006354405	0.920447339747112	0.54618535734078	0.92775754859174
Eggerthella	0.370808063478986	0.23567599377385	0.507487425627152	0.368572126824461	4.71217870403211	0.0678849174614621	0.468505987179416	0.512372482179317	0.912307010866518	0.542073025130931	0.9352881540239
Incertae_Sedis	-0.678951542928631	-0.765337970135859	-0.635487957717066	0.212378295576803	4.34899972074649	0.0439705719520483	0.477876106695274	0.451101489226397	0.908139514097898	0.47641241567126	0.923597622908052
Granulicatella	-0.361945689437214	-0.611581149656588	-0.142475504572197	0.517647319818058	4.41927387789068	0.10384041291759	0.443750001287865	0.436412499853729	0.872808081586709	0.444928601637821	0.885015006519154
[Ruminococcus]_torques_group	-0.681439303687522	-0.655173158746777	-0.709882156362807	0.0561697699032973	4.28659200804647	0.0102668022242404	0.493750000141307	0.483011823544605	0.908072028158321	0.482194372905432	0.927251621411784
Actinobaculum	-0.591406881181954	-0.600838261903577	-0.585463432309525	-0.0782755873928931	4.77942736171894	-0.0159035768850132	0.491666666855099	0.556361713967096	0.931749877445487	0.517931324867954	0.939849830216274
Akkermansia	-0.681982388214244	-0.738350439657569	-0.649069295295721	0.161467197393786	4.22854607664843	0.0349133684358402	0.483081728649016	0.500898281724085	0.915024811548184	0.477121662805783	0.909567329953902
unclassified_Enterobacterales	-0.462156697144422	-0.641984966386816	-0.265726957198022	0.388045508474531	5.05663651907845	0.0673387759808537	0.463020834173868	0.508324882947445	0.918960159468168	0.517529804807231	0.918096527034031
unclassified_Lachnospiraceae	-0.511055433549472	-0.580820599774524	-0.428654503449844	0.218016394527805	4.71403721437259	0.0383208460049143	0.479166667138436	0.520740947970853	0.915880338410428	0.46006851622429	0.909880904734709
Anaerostipes	-0.694413787398305	-0.7422516787048	-0.630555899558606	0.259003730015706	4.39697863134928	0.0517318438328446	0.474232171327845	0.48133144514991	0.912187838039739	0.500146972297427	0.925799112899647
Blautia	-0.583055368468437	-0.533676242387942	-0.635950340984893	-0.111322244771148	4.30246876195437	-0.0241368767518532	0.488541666925825	0.536419945983209	0.923949106709291	0.51301020828889	0.928948520529569
Actinomyces	0.839330099934084	0.896705217811693	0.760869640584382	-0.175787146238069	5.45532701056979	-0.0289821713344536	0.483602290844405	0.607841105405653	0.938770547866933	0.625593562722343	0.951232529288505
Acinetobacter	-0.691109421540125	-0.774094780439864	-0.587024955644957	0.0734526694551905	4.17367269910877	0.0140080800785107	0.490890161580072	0.449437554539972	0.894801927450855	0.449008872708106	0.906981752990747
Faecalibacterium	-0.76220884583426	-0.671181466163326	-0.856667676832246	-0.203484747306281	4.18175596040146	-0.0394170872255974	0.477355544499916	0.487322237652899	0.911740344312179	0.543544098410317	0.921024007058581
Finegoldia	0.42760796956642	1.01754073479183	-0.0472135375249065	-1.27508817205959	5.33438784988371	-0.227835302525153	0.385416669400465	0.201606800387217	0.789782712653697	0.198923721864523	0.799251505209298
Terrisporobacter	-0.582275099038188	-0.568422845205844	-0.592019886186286	0.0916548534025896	4.50814972027068	0.0187524503022608	0.491666666855099	0.509444046442457	0.921642944014554	0.51046620189679	0.925102570708426
Collinsella	-0.399334764139213	-0.336294938994096	-0.46656905665311	-0.248669244082945	5.05207263829067	-0.0372683145269263	0.480478917672109	0.537974787190744	0.933829032055376	0.569590875963701	0.940050671118595
unclassified_Ruminococcaceae	-0.649480098280061	-0.660390885370281	-0.634165297502261	0.0494726821007516	4.20297375521785	0.0113903130956394	0.494013534752593	0.500045098416887	0.911604863072497	0.530672595726133	0.925634285105733
Ruminococcaceae_UBA1819	-0.578301536175339	-0.643235399454948	-0.48972780802384	0.254400866730052	4.15672844998328	0.0561311340122165	0.473958333923623	0.528451277229986	0.909839959351277	0.576831803523072	0.922895497614751
Negativicoccus	-0.050051450304549	-0.118864680437555	-0.00391233383756706	0.136305465819503	4.8424769030576	0.0274047776090513	0.484895833675084	0.566420214388251	0.932714013212928	0.581457142044845	0.950057831341328
Fusobacterium	-0.714392077066901	-0.591608831685112	-0.84522036838829	-0.207806658785166	4.46944747327784	-0.0431391163625301	0.475000000566557	0.515673084999217	0.917186183308956	0.491077851277163	0.925968536287169
Varibaculum	-0.299410264781085	-0.42769044407431	-0.186089571797249	0.272123959480195	4.65840473334361	0.0547803787052311	0.469791667352046	0.509651804094548	0.923091954690875	0.490480767281222	0.923591383142019
Anaeroglobus	-0.620040283621682	-0.680683977617298	-0.569784337245825	0.132786726235913	4.35288486347967	0.0242432711079369	0.484375000353558	0.471871295645836	0.916240136487208	0.494405856326614	0.928726987559181
Peptoniphilus	-0.176510253136501	0.122261457302803	-0.423316972517758	-0.568432972054409	4.82247949227312	-0.100569878229633	0.453125001069034	0.414609570599886	0.867521725650627	0.431346860109376	0.885498857126326
Coprobacter	-0.661949785318464	-0.602792889099041	-0.724729430460071	-0.0693083489671276	4.57379889436486	-0.0121303033771699	0.496616345729719	0.476642729183753	0.912517252666662	0.484274314876167	0.919810458677013
Roseburia	-0.698462111095147	-0.730108842720315	-0.670752241880241	0.0906624685907991	4.46142931401324	0.0179027369067044	0.488287350603007	0.497751476470103	0.916052639292984	0.515506651072818	0.924116731834835
Cronobacter	-0.712244666811547	-0.805030502056189	-0.616109559840369	0.172550108087438	4.33413407078167	0.0349285278084931	0.476834982304562	0.489143063732158	0.915325430885798	0.516971470505125	0.925840570556596
Dolosigranulum	0.235862477007888	0.195885264977296	0.275506339327028	0.0130282390034839	4.52748178975492	0.00202566108011829	0.498698594511429	0.559334014367232	0.930766063974684	0.598269830421135	0.949875456770732
Atopobium	-0.249276850318699	-0.61888621979118	0.125978753509318	1.00457092256906	4.38006439424748	0.210515553818893	0.400832901862591	0.300287468823049	0.831905129385153	0.299130645790229	0.832376811455432
unclassified_Planococcaceae	-0.543331563464998	-0.516775589362573	-0.574059768946084	-0.111730514464533	4.40592935446026	-0.0193529954206447	0.487246226212192	0.53079420392461	0.918169749332096	0.5243789888888	0.929108616621547
unclassified_Yersiniaceae	-0.701086508480682	-0.618353395132609	-0.791201133327691	-0.203015929088322	4.19519619464677	-0.0393431849956213	0.479166667138436	0.501059479807522	0.904208502552225	0.491478100718377	0.909555755952278
Prevotella	-0.476460933412666	-0.537378187127854	-0.413878873131207	0.145724597313861	4.21920850456019	0.0298225234608201	0.484375000353558	0.528887012488295	0.918810062323552	0.564577854889557	0.930787580424248
unclassified_Bacteria	-0.736394315988652	-0.720131178866486	-0.754189696130545	-0.0682999694193267	4.26465242604809	-0.0131425444797752	0.492187500176649	0.529944846570373	0.902635843883438	0.513841284701056	0.903191340948277
Clostridium_sensu_stricto_13	-0.606030348426273	-0.605220252279739	-0.61606261469706	-0.0539669767489004	4.46246291267703	-0.0129550379894711	0.492451848166327	0.494890848560473	0.921712222760261	0.507127865819329	0.917987991653693
Hafnia-Obesumbacterium	-0.691222406959827	-0.637401427344526	-0.749039433556811	-0.230353815061246	4.44123270911213	-0.0460295651453072	0.475793857913864	0.484151570035593	0.891114848617353	0.515093737613346	0.914797644891696
Scardovia	-0.445237893825548	-0.411662563702215	-0.483793800220652	-0.166082287076336	4.53056040666767	-0.0283674888421239	0.487246226212192	0.543900409119542	0.925106508293295	0.571919268147271	0.936277765301959
unclassified_Bacillales	-0.622798861669575	-0.586702970165761	-0.666843216933667	-0.072591566096686	4.32678613718395	-0.0150750024737585	0.494013534752593	0.520944399004214	0.913148280358969	0.527887059890248	0.920836513162184
Megamonas	-0.696795994125332	-0.66280530820978	-0.715754704643305	-0.0509795328671849	4.52494032009888	-0.00984902808331349	0.495575221338867	0.504206240658466	0.901982915047129	0.507025150962854	0.910155289165957
Dialister	-0.631622803667478	-0.667451499566783	-0.603403320374072	0.146530608580434	4.24421707139662	0.025603405234008	0.486205101821385	0.549291546513097	0.91570598810131	0.529183727548838	0.925027904119765
Dermabacter	-0.578568362086539	-0.487971733082893	-0.641996630182824	-0.248236750269172	4.40513381938078	-0.052951193679524	0.473437500602161	0.495236733296099	0.913424213311171	0.509168384081268	0.926662374673948
[Eubacterium]_fissicatena_group	-0.603424659887912	-0.652469424423668	-0.545882882679156	0.0690964641495331	4.18036654150563	0.0135645266927809	0.494013534752593	0.514177621677067	0.914152280841121	0.5135042755306	0.918895548803913
Faecalitalea	-0.617580703956591	-0.581814494642364	-0.651320493723499	-0.137393019355561	4.58188378100963	-0.0272872431507323	0.484122853039796	0.495445748273377	0.9078558011149	0.49329449930657	0.9161650590481
Trabulsiella	-0.56360555932627	-0.572235086772051	-0.558151638692626	0.00536037089304831	4.34603431992661	0.00171486325253088	0.499219156706857	0.539750325988537	0.921214207260701	0.52495698835403	0.925310136968391
Serratia	-0.648990811562451	-0.6462287893359	-0.6511634914059	0.00604221670320193	4.34428388479062	0.000846383566072359	0.499219156706857	0.549050938827325	0.92367808972718	0.578464764669264	0.937393152315524
Lysinibacillus	-0.625664634071182	-0.540482582003802	-0.714395844819994	-0.166338493786237	4.26250659254396	-0.0351326971741034	0.481520042062863	0.469087038337021	0.892501727464176	0.4815138689143	0.901553057957733
Ezakiella	-0.741447935957495	-0.758029458183887	-0.730477239789882	0.0496530494081577	4.1167220463931	0.0104870202461217	0.494534096948017	0.511409117138127	0.917323860411318	0.528111124292103	0.926720906444251
Cutibacterium	-0.256760501667523	-0.13079009794579	-0.421216638996391	-0.221288371418876	4.30302648247495	-0.0489689958292338	0.474479167245088	0.51842082979232	0.918340237667911	0.49454143344197	0.923215339325898
[Eubacterium]_siraeum_group	-0.632305452596462	-0.743529425369918	-0.492801255153414	0.219552722669144	4.15122148401705	0.0476281414671285	0.480208333781438	0.457319156402137	0.872606158938981	0.440989644057492	0.880515159270623
unclassified_Bifidobacteriaceae	-0.603716619136533	-0.578610826887441	-0.63442840887789	-0.166527751077589	4.31469801354914	-0.0309106624533569	0.481250000424452	0.498877987493891	0.906535566996805	0.53978022520525	0.923450540288976
Paludicola	-0.681675287882464	-0.608917812580724	-0.740481353412332	-0.103126164679539	4.30708424231157	-0.0222556111310366	0.488807912798416	0.485986319927739	0.903953179901553	0.496902829755915	0.90902603057967
Saccharimonadales	-0.641997436468536	-0.637105446443194	-0.649685947039409	-0.0717700065456155	4.10804281590981	-0.0128718863026508	0.49583333342753	0.486907471231415	0.896525361245682	0.543610178513853	0.912130534495122
Sneathia	-0.713946278649839	-0.617622506274015	-0.790136480233407	-0.26687262330139	4.26986910556159	-0.0646030926039168	0.471108798155911	0.463185993932387	0.881765176382465	0.472898449322048	0.900747089851076
Gallicola	-0.731815156705933	-0.763893703493452	-0.708522589411187	0.014009590891245	4.23493120407712	0.00236796195587555	0.498437500035322	0.566959193716618	0.928945415520125	0.589470587874001	0.934852728611586
Adlercreutzia	-0.670890343165541	-0.789722130744286	-0.546684009949909	0.223317858052354	4.12418271041786	0.0460439102277026	0.473958333923623	0.508770740748308	0.916302376293745	0.559446469090462	0.927823971942956
