featureid	rab.all	rab.win.S_M01	rab.win.S_M02	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Bifidobacterium	11.5087812860849	11.4807919620686	11.5536108461867	0.0511189049615552	1.62817183346507	0.0120659015057187	0.48464341523519	0.653516426803362	0.94910360000727	0.759621595037116	0.968126795733809
Escherichia-Shigella	4.90637654844701	4.33235909829925	7.7656735744508	0.437174796795343	8.12915628045051	0.0585497576820351	0.465382614007778	0.60575096923757	0.946338648160539	0.670185889655902	0.959761850934602
Bacteroides	2.07961243013307	2.03094709627115	2.13541554301129	-0.142101712358146	7.89660428953291	-0.0171537072001395	0.492972410361748	0.740561133925789	0.959030940025858	0.741116921577699	0.964638059707462
Enterococcus	3.59836364508851	3.62920041206189	3.53891296419375	0.18593522114297	7.02076306335411	0.021054475782983	0.489062500247367	0.759091548910266	0.956661690422784	0.798054734513672	0.967758718955946
[Ruminococcus]_gnavus_group	0.694735500608086	0.184978788372595	1.33170008062168	1.4488943318012	7.06913951442089	0.19654762739008	0.400312339668654	0.276185367817241	0.859528562197867	0.264929226128368	0.834721622491615
Streptococcus	9.7758856349621	10.0335864657158	9.26999328682026	-0.503919447678515	2.19521452327765	-0.223421695670001	0.41354166868135	0.225997205693164	0.887298426322344	0.237111945980444	0.907830087071927
Staphylococcus	6.10378420931263	7.26311390378387	4.95198510728517	-2.39681962488314	4.5641082079422	-0.446710325628421	0.286979172550031	0.00679936121008058	0.323830623243837	0.00416515708464191	0.265115900962074
unclassified_Enterobacteriaceae	6.07487113947454	6.30737452287969	5.90907370697665	0.614639017857711	7.96012749134223	0.07463301466526	0.452889121323261	0.540166366632758	0.940779747689646	0.495386851358149	0.945775412706753
Veillonella	6.09425519829739	5.70616816538098	6.49231078436925	0.400974369259705	4.50592430147931	0.0813070424962543	0.457053618884367	0.6510142003724	0.948850722033602	0.597486317431587	0.952659948763445
Haemophilus	4.57109128032952	4.58773907192486	4.5536685241873	-0.708431338031988	6.10606540329707	-0.0927290867229748	0.45861530546989	0.489850398979457	0.931436438115412	0.555642423686813	0.948532806829386
Clostridium_sensu_stricto_1	4.25766070579692	3.66215750260477	5.14952257287748	0.136841809737657	8.04860676849041	0.017094784711216	0.49349297255717	0.809958332126324	0.964045440053749	0.873650899026528	0.978063007661979
Erysipelatoclostridium	-0.0578992167999175	-0.100433270849151	-0.0157554809345202	0.322060425201879	5.47149378605633	0.0446211781647292	0.473711609132513	0.434141324862463	0.901173388847353	0.572960231843533	0.940198929982464
Lactobacillus	3.87128382130367	3.62840803390389	4.87318885059741	0.876505055081973	7.30857209937394	0.109933142337101	0.452083334426559	0.559996604409136	0.940688489854672	0.52804147133723	0.949381403526198
Lachnoclostridium	-0.15589391093416	-0.209119772001065	-0.0959573312715056	0.199414715488325	5.84842154076398	0.02633854619478	0.483602290844405	0.633737284506947	0.942917373549346	0.574587722154384	0.944357283476029
