featureid	rab.all	rab.win.S_M01	rab.win.S_M02	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Bifidobacterium	11.5082960923402	11.4753386801352	11.5505575874992	0.00546604889981239	1.65801908309557	0.00130483118084595	0.498958333356881	0.639460346882612	0.952158934534437	0.776574431489968	0.971397728917071
Escherichia-Shigella	4.88336314683515	4.27979557524901	7.74989370189937	0.250930685713955	8.27999315052027	0.0295476358121077	0.479958355476736	0.597106589300879	0.946493143799852	0.682170241002773	0.960827299907806
Bacteroides	2.06379428873497	2.01144249874147	2.1332981679107	0.016940756540488	7.91674273098135	0.0025460342619467	0.498958333356881	0.777919663975145	0.961287413773174	0.765825232995277	0.967305948492637
Enterococcus	3.57077793689473	3.62003164514225	3.54679802817994	0.0587815035861263	6.89658098847354	0.0089956573115982	0.496875000070645	0.760718860781841	0.959943235633496	0.819717686902028	0.970912605787335
[Ruminococcus]_gnavus_group	0.68903374615665	0.220160514776227	1.23258223186371	1.29879366651733	6.93693646951165	0.167057476496136	0.405208335556045	0.267390824034679	0.881572452192768	0.257006548309882	0.884385822492597
Streptococcus	9.79239773887236	10.0525082544425	9.25713843110879	-0.470191090306313	2.23209206218441	-0.199999958241055	0.407600210385241	0.20997600962751	0.888941802659044	0.221679706616651	0.907968952112865
Staphylococcus	6.13150518884132	7.28005293040332	4.96294093435596	-2.44989123891734	4.57510653527786	-0.46933910924329	0.283706408923944	0.00665310866431905	0.316435480622455	0.00402630733150362	0.262161776609447
unclassified_Enterobacteriaceae	6.07062936382642	6.32139472864681	5.86802552194843	0.690078688218571	7.96053617997532	0.0855029999818768	0.451562501105333	0.551715604577472	0.943678865522007	0.515823442130363	0.949888427172153
Veillonella	6.08290521751626	5.66740377786176	6.45301198517196	0.427050749752517	4.62909281179321	0.0919621854238585	0.460416667567115	0.670105497121922	0.951889379161167	0.606098957228578	0.954046201852983
Haemophilus	4.57157957583963	4.58546217316112	4.56780279386006	-0.657421879211478	6.08588919369434	-0.0965348352941993	0.457053618884367	0.509352812858588	0.934632107825156	0.556128826124038	0.950096103272234
Clostridium_sensu_stricto_1	4.23550303596536	3.63020608471203	5.21489833460271	-0.0254158007441054	7.9632655218893	-0.00335652324972279	0.498958333356881	0.790069425541513	0.963677511387492	0.852085924967916	0.97624531120908
Erysipelatoclostridium	0.0164652796841542	0.0109277446477591	0.0267021485042216	0.280765590586629	5.40209418344061	0.0449454770865004	0.473437500602161	0.458372061425205	0.908265182158956	0.562349309243026	0.942213869724051
Lactobacillus	3.84328907474409	3.57921626532493	4.88676202613233	0.751827582087608	7.22904174010785	0.103209198776043	0.45601249449405	0.5747072949616	0.941454622227509	0.551580233380608	0.949943877114105
Lachnoclostridium	-0.191906541664562	-0.157899596662403	-0.228631412825916	0.00911588903739258	6.16331704153747	0.00137247474979702	0.49947916667844	0.612139587918193	0.947171142477857	0.562135618626841	0.946338441080203
Megasphaera	-0.378347276192883	-0.148138677643369	-0.57482377193115	-0.448211402478353	4.29451727701293	-0.0794294953413177	0.448204061567564	0.477513863634168	0.898819101812053	0.463977075719324	0.901636970493586
Sutterella	-0.0578138186301267	-0.0408105973310349	-0.0676032076107242	0.008797739027254	5.79938574493437	0.00169038444755119	0.498437500035322	0.618709354661496	0.932992719681699	0.592492006192588	0.936110459984235
Intestinibacter	-0.181055391604134	-0.380150236712073	0.0387302483933549	0.471212466313417	4.8751576167857	0.0775336860273125	0.455729167675344	0.453997040518187	0.892531180740914	0.471085161851968	0.909619647204119
Parabacteroides	0.0203976754533466	-0.0808689505268765	0.100881130664436	0.17386829692715	7.4355985903831	0.0208534494954624	0.484895833675084	0.661473107667971	0.950393125510848	0.591652514533812	0.953752504739848
unclassified_Erysipelotrichaceae	-0.558344933794736	-0.606201681188237	-0.495394526821043	0.215991440487336	4.31831205204048	0.0477263296149339	0.478396668890635	0.473316162837489	0.888381423792014	0.496791029942184	0.90659623958038
Tyzzerella	-0.28541763424614	-0.281435276015042	-0.289352016884425	-0.00566256652350905	5.58599308103765	-0.00127915695995451	0.49947916667844	0.623217223142728	0.943277683875102	0.559471880926483	0.93465023441002
Flavonifractor	-0.582596472461193	-0.653584732980526	-0.493582054106784	0.239569228319703	4.82423111229508	0.038784551859901	0.477355544499916	0.507674215639875	0.896983867387219	0.527735575993419	0.920737792438352
Gemella	2.60386352777508	2.80185419165001	2.40042219124682	-0.569691189986473	5.37155454522436	-0.0880924249112511	0.453930245713496	0.570502292111204	0.940860070860074	0.602234734505097	0.958205724675421
Romboutsia	-0.527721190272527	-0.463157236540323	-0.599873872687938	-0.155136081525811	4.57183950374793	-0.0304991430856611	0.486458333639676	0.533967477667446	0.91986071162292	0.515331865324902	0.93276535511346
Hungatella	-0.620740670982433	-0.629148886089563	-0.603265031631845	-0.0521259096326059	4.65459376472478	-0.00784670443510061	0.496095783534293	0.552092420182089	0.929126857255089	0.556653757636945	0.940434829727151
[Clostridium]_innocuum_group	-0.563394371098741	-0.526521027299135	-0.590195896023359	-0.118068901259418	4.80075539316081	-0.0214824718159503	0.489583333568911	0.55856792675351	0.925511823433876	0.582104606015194	0.937625457860808
Rothia	4.66802487341516	4.43539426864232	4.83177818192057	0.588622252330318	5.68616704043034	0.0929501360826735	0.446642374982471	0.427065052640843	0.919962794646594	0.534822477147039	0.946034174350217
Neisseria	-0.611802075228344	-0.687188161561002	-0.510129068058333	0.185153268717176	4.17630126691048	0.0333325008967753	0.478917231085999	0.466728290120139	0.899725688811041	0.464985611185834	0.908825128886427
Corynebacterium	0.70147517895864	0.869743598875934	0.543699315550055	-0.418452008077582	4.15538175815601	-0.0875145723184897	0.454166667711537	0.533115307104505	0.92559312512151	0.534195337564295	0.931788769751429
Anaerococcus	-0.434764452647665	-0.41440334673397	-0.47518346975469	-0.144305912122618	4.4182722572013	-0.0308423949289253	0.483081728649016	0.521712882425637	0.919821400386337	0.493309330505011	0.929912693038281
Phascolarctobacterium	-0.663693551368553	-0.643866360916062	-0.679289121713484	-0.00873594052797788	4.74336049041226	-0.0017317027345552	0.49947916667844	0.553518707182801	0.914332881738995	0.529791419564339	0.920948677352967
unclassified_Pasteurellaceae	0.0713190210403374	0.176414370533681	-0.0244596059714786	-0.194039694242385	5.51195850796531	-0.0354805834598195	0.481770833745963	0.5835334792579	0.926170945758631	0.606480043084747	0.941761867418795
Epulopiscium	-0.641817868834975	-0.630638184024408	-0.660311399467267	0.0352856100969543	4.57087363241407	0.00726560768271446	0.49583333342753	0.552570635868018	0.925760787149411	0.574571759641581	0.930165151688256
Eggerthella	0.316233271909709	0.154300411724059	0.497623825321612	0.34756406898947	4.65229408106146	0.0696799203575442	0.465903176203039	0.561116719397743	0.920513523541969	0.551376855405717	0.933030763100025
Incertae_Sedis	-0.750908425233551	-0.810464562925056	-0.674997988080559	0.269871202493532	4.34113878837735	0.0486510156657258	0.476562500530986	0.516450466106916	0.917683606526798	0.519919238926842	0.921607685730288
Granulicatella	-0.429490019446964	-0.605337918755963	-0.269143781426644	0.405683444758348	4.42345803603336	0.0793187205302128	0.459135867665077	0.449157772486195	0.898237747913903	0.474864098864583	0.91364019198844
[Ruminococcus]_torques_group	-0.757888651026283	-0.756397332855958	-0.758674569337919	-0.00892407161878772	4.26989899734391	-0.001628482751471	0.498958333356881	0.504569891256211	0.905324574071953	0.488801150557971	0.907580971727817
Actinobaculum	-0.634154921544764	-0.691912669990234	-0.578137221135087	0.143968853213581	4.71337511254056	0.0225158542959794	0.484895833675084	0.527851801851308	0.916525227790503	0.499162619941273	0.914815681200504
Akkermansia	-0.590094851866628	-0.589837130217452	-0.593063881961501	0.136427921202838	4.13582801327003	0.0239007529839641	0.484375000353558	0.534088158654691	0.919212755713688	0.542982935358749	0.935723516506732
unclassified_Enterobacterales	-0.493168453617014	-0.600591886727802	-0.393736153119784	0.459560241279987	5.1461054536807	0.0671065512007264	0.463300365226788	0.480894834940169	0.923831477907497	0.496662517833234	0.934598282390832
unclassified_Lachnospiraceae	-0.533933998273518	-0.651493080490702	-0.436823256743323	0.183751025030359	4.71686489876858	0.0391236871062953	0.479958355476736	0.511762871930639	0.908671302321272	0.511574018842185	0.905073840368383
Anaerostipes	-0.623633236046883	-0.71660006092926	-0.554932013197345	0.184081530580683	4.45905386558486	0.034943501362254	0.482040604258245	0.476350306204861	0.897878844909756	0.475849580629584	0.910841169356128
Blautia	-0.634843096157936	-0.540418515761558	-0.72933369532049	-0.0832671330107742	4.38067627454362	-0.0173286231539047	0.492708333498201	0.524760054154195	0.915072850968423	0.520564900265781	0.926448718176108
Actinomyces	0.818895160494423	0.924683489251414	0.692525943678569	-0.272761725614839	5.41625448822042	-0.0462972217588917	0.473711609132513	0.584230648747459	0.94018033573727	0.616962651163807	0.957274434023014
Acinetobacter	-0.706596226354539	-0.718402654760998	-0.694858556248466	0.124641889558327	4.15493307369008	0.0240479617841277	0.487246226212192	0.529027531051112	0.903132521156168	0.516490823023908	0.899264768783207
Faecalibacterium	-0.653880588591294	-0.515314077576127	-0.823217255205805	-0.237525921848007	4.17824839521201	-0.0485023731661317	0.475273295718521	0.513428009465246	0.905818009929199	0.505720640497371	0.92700762591248
