"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K19779",17.365449170888,23.5786795451925,1.63462516705618,14.4245176327828,3.62797430342106e-47,2.2014548073159e-43
"K19780",18.1267351302445,23.7324967942595,1.82189810551032,13.026248132363,8.67705104815099e-39,2.63261728800901e-35
"K00713",16.3822154669102,23.4877993139137,2.0136657929898,11.6641993898303,1.9422146858826e-31,3.9284529046452e-28
"K12218",10.8021091872722,22.3266125582099,2.03449859041274,10.9740123013211,5.0959716271692e-28,7.73058895841567e-25
"K12228",10.919479465844,22.7472709027829,2.27899514785468,9.98127219542171,1.84091103835855e-23,2.15968510810146e-20
"K12203",11.2408656672193,22.9704366116346,2.3047564284719,9.96653543423004,2.13548296779973e-23,2.15968510810146e-20
"K12206",8.92521417357473,22.6750102633315,2.44604364174025,9.27007592031321,1.86013473699568e-20,1.6124710834414e-17
"K12217",6.2478595465311,22.0521423849063,2.39318612321625,9.2145538414162,3.12575479965437e-20,2.37088501553784e-17
"K12213",5.92686809446129,22.0111766121348,2.56592832254538,8.5782507713621,9.63267626166331e-18,6.49456439508588e-15
"K12222",6.21326214472963,22.0247523498963,2.57662186772477,8.54791796413062,1.25328744003096e-17,7.60494818610785e-15
"K12209",6.23986721190043,21.4819763355282,2.56475451453348,8.37584112389628,5.48308397273616e-17,2.85113116597868e-14
"K12687",67.2669369612863,8.8686280311459,1.05925027221413,8.37255204344483,5.63836090832962e-17,2.85113116597868e-14
"K12214",6.30110017758549,22.1097496041957,2.73309871827963,8.08962715335537,5.98476476420462e-16,2.79350404532259e-13
"K02259",16.5745372501322,-6.35752124092999,0.902482311505076,-7.0444829332195,1.86151461659318e-12,8.06833620963386e-10
"K03795",14.0484210351917,-5.34482461500506,0.8027406600771,-6.65822086860744,2.7716205808262e-11,1.12121291229689e-08
"K20337",27.0947535537302,-5.3590837814554,0.838550754830979,-6.39088779132468,1.64925377812539e-10,6.25479495354054e-08
"K06886",26.3567655690108,-4.47871673659982,0.722196091959654,-6.20152447024046,5.59188234281623e-10,1.99597306212993e-07
"K19128",17.1243280102174,7.85227876741614,1.2691127834379,6.18721903198005,6.12348550399991e-10,2.06429500212619e-07
"K23170",16.3153432000943,7.97431050965122,1.32264788871088,6.02905019371663,1.64926064147843e-09,5.26721766973217e-07
"K03298",15.1841011331013,6.77883941478375,1.1356667878615,5.96903905902588,2.38654980220118e-09,7.24079209987838e-07
"K00167",6.97507606684177,-6.28908286237332,1.10597650521664,-5.68645249940584,1.29705440867939e-08,3.74786959612692e-06
"K07145",11.6016805099756,-5.31484695613011,0.944388658016109,-5.62781743619738,1.82504096368902e-08,5.03379480348407e-06
"K07094",7.07167275457077,-5.24449986702105,0.935199922882718,-5.60789168037469,2.04806133801088e-08,5.40332008654348e-06
"K07476",7.75133455835595,-5.01878243298294,0.90136425057285,-5.5679847850559,2.577023201254e-08,6.51557366050385e-06
"K08976",7.72968158376782,-5.38262565699357,0.973214659452831,-5.53076919332456,3.18829607128937e-08,7.73863222423357e-06
