SampleID	oral	Unknown
S_i21_S_M04	0.0529	0.9471
S_i25_S_M04	0.09719999999999998	0.9027999999999998
S_i22_S_M04	0.016100000000000003	0.9839
S_i24_S_M04	0.024599999999999997	0.9753999999999999
S_i09_S_M04	0.013300000000000001	0.9867000000000001
S_i03_S_M04	0.0036000000000000003	0.9964000000000001
S_i18_S_M04	0.0005	0.9994999999999999
S_i27_S_M04	0.012099999999999998	0.9879
S_i28_S_M04	0.0531	0.9469
S_i12_S_M04	0.0066	0.9934000000000001
S_i14_S_M04	0.010699999999999998	0.9892999999999998
S_i30_S_M04	0.013800000000000002	0.9862
S_i02_S_M04	0.06570000000000001	0.9343
S_i06_S_M04	0.08099999999999999	0.9189999999999999
S_i15_S_M04	0.3125	0.6875
S_i29_S_M04	0.009700000000000002	0.9903000000000001
S_i23_S_M04	0.0086	0.9914000000000002
S_i04_S_M04	0.024499999999999997	0.9754999999999999
S_i07_S_M04	0.011399999999999997	0.9886000000000001
S_i05_S_M04	0.04719999999999999	0.9528000000000001
S_i08_S_M04	0.07959999999999998	0.9204000000000001
S_i16_S_M04	0.0026000000000000003	0.9973999999999998
S_i19_S_M04	0.017499999999999998	0.9824999999999999
S_i10_S_M04	0.0050999999999999995	0.9949
S_i20_S_M04	0.0101	0.9899000000000001
S_i11_S_M04	0.0025	0.9974999999999999
S_i01_S_M04	0.008	0.992
S_i31_S_M04	0.0026000000000000003	0.9974000000000001
S_i26_S_M04	0.0029	0.9971
