SampleID	oral	Unknown
S_i29_S_M06	0.003999999999999999	0.9959999999999999
S_i03_S_M06	0.0012000000000000003	0.9987999999999999
S_i08_S_M06	0.04259999999999999	0.9574000000000001
S_i31_S_M06	0.007200000000000001	0.9927999999999999
S_i12_S_M06	0.0625	0.9374999999999998
S_i07_S_M06	0.013199999999999998	0.9868
S_i10_S_M06	0.011699999999999999	0.9883
S_i16_S_M06	0.0043	0.9957
S_i15_S_M06	0.19069999999999995	0.8093
S_i04_S_M06	0.0465	0.9534999999999998
S_i25_S_M06	0.011600000000000001	0.9883999999999998
S_i19_S_M06	0.026600000000000002	0.9734
S_i14_S_M06	0.0002	0.9997999999999999
S_i01_S_M06	0.016500000000000004	0.9834999999999999
S_i23_S_M06	0.1432	0.8568000000000001
S_i18_S_M06	0.0044	0.9956000000000002
S_i21_S_M06	0.21470000000000003	0.7853000000000001
S_i22_S_M06	0.011899999999999997	0.9881
S_i11_S_M06	0.0007	0.9992999999999999
S_i02_S_M06	0.0038000000000000004	0.9962000000000002
S_i27_S_M06	0.03370000000000001	0.9662999999999998
S_i05_S_M06	0.017300000000000003	0.9826999999999998
S_i30_S_M06	0.09099999999999998	0.909
