SampleID	oral	Unknown
S_i01_S_M03	0.0076	0.9924
S_i10_S_M03	0.039599999999999996	0.9603999999999999
S_i08_S_M03	0.020799999999999996	0.9791999999999998
S_i14_S_M03	0.0113	0.9887
S_i22_S_M03	0.09759999999999999	0.9023999999999999
S_i16_S_M03	0.011099999999999999	0.9889000000000001
S_i26_S_M03	0.0128	0.9872000000000002
S_i07_S_M03	0.0031000000000000003	0.9968999999999999
S_i02_S_M03	0.055499999999999994	0.9445
S_i24_S_M03	0.005899999999999999	0.9941000000000001
S_i29_S_M03	0.009899999999999999	0.9901
S_i30_S_M03	0.06439999999999999	0.9356
S_i06_S_M03	0.004	0.9959999999999999
S_i27_S_M03	0.032999999999999995	0.9670000000000002
S_i05_S_M03	0.04029999999999999	0.9597
S_i25_S_M03	0.0193	0.9807
S_i23_S_M03	0.007000000000000001	0.993
S_i11_S_M03	0.045799999999999993	0.9542000000000002
S_i28_S_M03	0.1197	0.8803000000000001
S_i03_S_M03	0.0020000000000000005	0.9979999999999999
S_i31_S_M03	0.007300000000000001	0.9927000000000001
S_i12_S_M03	0.0015	0.9984999999999999
S_i20_S_M03	0.0026999999999999997	0.9972999999999999
S_i21_S_M03	0.0389	0.9610999999999998
S_i15_S_M03	0.0722	0.9278000000000001
S_i09_S_M03	0.05800000000000001	0.9419999999999998
S_i18_S_M03	0.002300000000000001	0.9977
S_i04_S_M03	0.0034000000000000002	0.9966000000000002
S_i19_S_M03	0.05770000000000001	0.9422999999999998
