	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	-7.819	4.740	-1.649	0.099	-17.109	1.472
breastfeeding[T.n]	8.657	4.850	1.785	0.074	-0.849	18.162
breastfeeding[T.x]	6.954	4.775	1.456	0.145	-2.406	16.314
timepoint	0.039	0.023	1.705	0.088	-0.006	0.084
timepoint:breastfeeding[T.n]	-0.041	0.023	-1.766	0.077	-0.087	0.005
timepoint:breastfeeding[T.x]	-0.034	0.023	-1.450	0.147	-0.079	0.012
Group Var	0.002	0.007				
