"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K09190",279.713128039686,-25.152996435874,3.68287337907563,-6.82972066831883,8.50801314186943e-12,4.03960463975961e-08
"K15359",242.105875457479,-24.6665150709104,3.68288078463012,-6.69761431699118,2.11849493480187e-11,5.02930697521964e-08
"K18351",64.6173777590515,-23.3520035715533,3.54789897184308,-6.58192461422382,4.64397053096979e-11,7.34985736034818e-08
"K12522",14.3772410028647,-20.3800356624867,3.59030984105562,-5.67640024530432,1.37558711398294e-08,1.63282190429775e-05
"K07241",444.765588947087,-7.66367780454867,1.47110172017808,-5.20948191374621,1.89368665525293e-07,0.000179824484782819
"K03090",25.1984916060151,8.56417623827111,1.69312238177651,5.05821453336712,4.23200176993185e-07,0.000334892406727274
"K07724",83.3176844882604,-5.04238489726407,1.13781807076742,-4.43162666054614,9.35248488626642e-06,0.00591647764668967
"K11900",100.919554355053,-3.86510456772679,0.874883763221071,-4.41784923919102,9.96879131708453e-06,0.00591647764668967
"K11896",183.258788397722,-3.58772175514947,0.835131193071777,-4.29599778443566,1.73909318868512e-05,0.00901581162456815
"K16923",473.911840339986,2.03936611815167,0.476881560677368,4.27646251462299,1.89886512733112e-05,0.00901581162456815
"K16784",447.71617594112,-11.1202183414839,2.61654508139867,-4.24996244877982,2.13806356219116e-05,0.00922865981207602
"K11906",155.192374098037,-3.44316439994511,0.830998315739182,-4.14340719437245,3.42183582321905e-05,0.013314851231267
"K11895",210.380291643984,-3.51322623732113,0.850894154109661,-4.12886399601279,3.6455995367833e-05,0.013314851231267
"K07739",26.5820042145787,9.69159761439529,2.39794107888998,4.041632924059,5.30802784822215e-05,0.0180017973023991
"K00156",94.4897536858498,-3.0977001337508,0.803780344716402,-3.8539137640194,0.000116244553233655,0.0367952759168931
"K17327",18.9843276293912,9.01022682201964,2.36005982644357,3.81779593935014,0.00013464922337726,0.0380730901826881
"K17328",27.0493443645443,8.88475170452032,2.32905006792826,3.81475341679687,0.000136318983383677,0.0380730901826881
"K01081",358.705113771283,-5.84317013231026,1.54341398763643,-3.78587351100688,0.000153169576444267,0.0404027304976322
"K08475",37.8163964735021,-5.35591710302242,1.41994994191649,-3.77190557562443,0.000162005566523241,0.0404843384132816
