"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K08676",230.767611868806,-23.2720763319017,4.17096415533671,-5.57954359356584,2.41150503857077e-08,0.000126531669373808
"K07063",258.683124073075,-23.4520137664735,4.42483446706813,-5.30008838545607,1.15746633698445e-07,0.000303661293507871
"K16694",218.189665018656,-23.1942852613254,4.44313709487322,-5.22024973933135,1.78682013038025e-07,0.000312514840803505
"K03813",96.5649525147349,-22.13965345371,4.49957175111572,-4.92039124572694,8.63713825201894e-07,0.000963446732504021
"K10242",139.050207349388,-22.4646084699648,4.57914256823768,-4.90585478289891,9.30213310964468e-07,0.000963446732504021
"K09789",121.554439704554,-22.4514886142591,4.6077563555169,-4.8725424874902,1.10171152945e-06,0.000963446732504021
"K19693",1059.25915762506,-25.3938197364508,5.2908853248449,-4.79954075307713,1.59029874585709e-06,0.00104468502745105
"K09797",93.9077860609207,-21.9635486373542,4.57647862016523,-4.79922456986398,1.59281117202371e-06,0.00104468502745105
"K07749",142.309035720038,-21.7322107674772,4.75478891954175,-4.57059422304949,4.86343189675627e-06,0.0028353807958089
"K22210",518.596659427753,-23.6991936565969,5.29311212577428,-4.47736475129556,7.55700724892677e-06,0.00396516170351187
"K10004",77.8384817190431,-21.8422642933539,4.98405239806752,-4.38243071076516,1.17362497504895e-05,0.00526946776640882
"K06933",71.6852581537835,-21.7320534812163,4.96544680333021,-4.37665618865176,1.20513842570813e-05,0.00526946776640882
"K03838",84.8578388805473,-21.9547391028742,5.06705049296986,-4.33284395593347,1.47195442206999e-05,0.00577077712628964
"K02850",85.6043878700571,-21.9640553587212,5.08083409539559,-4.32292315520117,1.53975375963512e-05,0.00577077712628964
"K24088",99.2730362679865,-22.1705963254809,5.18717716931662,-4.27411588264715,1.91897217349568e-05,0.00671256466288788
"K18785",90.9304478691996,-22.0535399980183,5.2064390925818,-4.23582022296975,2.27718920214314e-05,0.00746775733977818
"K00177",94.5805930597249,-22.1127067327425,5.27078745504192,-4.19533265595637,2.72471394601881e-05,0.00840974945574157
"K05350",80.0461108874699,-21.8966998933725,5.25028931689291,-4.17057014799536,3.0383850725529e-05,0.00885689248649171
"K05396",85.4318516379454,-21.9237004191632,5.29866114309709,-4.13759246479171,3.50969029512006e-05,0.00969228683078683
"K00176",104.091142927017,-22.1452168124216,5.37433209008845,-4.12055236654666,3.77965144363363e-05,0.00991591556237284
"K21572",5986.17317717314,-27.7527582408213,6.77506778314215,-4.09630709671661,4.1979297894802e-05,0.0102576563451931
"K09922",159.753543964925,-22.7906283442746,5.57133991691236,-4.09069069275263,4.30090412796357e-05,0.0102576563451931
"K00992",142.21947054089,-22.5663536607421,5.56498323233531,-4.05506229194374,5.01209442293092e-05,0.0114341127987472
"K19709",61.4229030165637,-21.5212761365951,5.33953314149968,-4.03055390167511,5.56455659607256e-05,0.0117337236131871
"K13896",75.0629233762005,-21.7961965118193,5.40921985603913,-4.02945287710665,5.59068211034263e-05,0.0117337236131871
"K21573",3778.43509053437,-27.1316103721178,6.77506857281166,-4.00462520497533,6.21158851334299e-05,0.0125354634344272
"K07003",120.69634185042,-22.4377568635999,5.62353165818121,-3.98997609108451,6.60799558819614e-05,0.0126042363233136
"K17246",583.512214726013,-12.2460247040504,3.07243469746346,-3.98577216764296,6.72610285978234e-05,0.0126042363233136
"K10110",78.6793289706857,-21.8449113094931,5.52577685242503,-3.95327424412847,7.70889960680767e-05,0.0139477918058344
"K16138",89.1395593343968,-22.0305285001308,5.60075482683205,-3.93349274897503,8.37203656545585e-05,0.0146426919529823
"K09971",108.940975466063,-22.2932046230659,5.7035657787072,-3.90864337995222,9.2815855875321e-05,0.0157098321218648
"K09969",91.6688725095602,-22.0683710740945,5.6722232995766,-3.89060336812583,9.9995268016066e-05,0.0163960991025093
