	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	-13.091	2.966	-4.413	0.000	-18.905	-7.277
breastfeeding[T.x]	-10.295	3.359	-3.065	0.002	-16.878	-3.712
timepoint	0.074	0.014	5.181	0.000	0.046	0.101
timepoint:breastfeeding[T.x]	0.048	0.016	2.977	0.003	0.016	0.080
Group Var	0.058	0.050				
