Feature ID	domain	phylum	class	order	family	genus	species
061b9077577e1847b426043b2bc1d14a	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
08d63c57f100ca7d6406e91cfe11cce5	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
f2835716f12a7a9c140ea8a2e661b033	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
44396f15b10f6577d61a11c6047c939f	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
9689cfda4d0a89df943be3ac0d4421f3	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
5505082f737448e12c9079873c06f349	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
ce55da28607d8c61f8aec51d9a1a43a5	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
5efaf12aa85d72f72da28684324e57e5	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
ef485e4c567c3e9b862dcf930623472f	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
f0ad210400539c6568dbfddc24f7884c	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
23fb60353588cd437c9c93643639ed1a	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
28257af235fca2fab94d983bcb25ebf3	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
662ef7283ff2db829e376dabd46f419f	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
817331c4e744fb526c05f5a20eda969b	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
27d365cf16663d89fa526727843ab4d8	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
3cf136f48e3279affab6ef7446f41843	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
db52c4e7334d78a46470d4c5058e4179	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
bbce6d2dcb4d2bec80ea9466c88b4e89	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
1f798a376bd060d280b579870f584e9d	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
5ddd4616b509b5641c578fc414a97e32	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
ae29c69fa9058052e55aa88557e63d81	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
ad2ef275b0285e3e1a8f86a3cb565252	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
61014175a0ccc518507d262763be6b0d	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
83c1712ad42e055103257d65e36d4f29	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
f0e38fb523492ec26e653db5215e691f	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
bc29605ee2f490499f5eb3a724b29a91	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
4f25b22f135c7e4d76e2d71532dfbb70	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
a069ae9c495b1950732366cfbcc43f87	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
70d83b15ead2d4397afdf8d376a05c54	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
08be90dad190311ed21b97c171a3fbff	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
12a23ad25dd5576aac8e99fd86529608	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
0341e1b946047f6b2cc5a0eaa6af1add	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
9f842d2b1f42932db75c6fbbf92ea372	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	unclassified_Methanosphaera
a3f042fc6b3f154b5f78d8d00174daea	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	unclassified_Methanobacteriaceae	unclassified_Methanobacteriaceae
b249f5a57c38104f21bb071256143dc1	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	unclassified_Methanocorpusculum
40fde8576598cbabf9d0c198482e9c80	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	unclassified_Methanocorpusculum
fc874a8e9c11011936cf574f5ff358dd	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	unclassified_Methanoculleus
f4b0ba6069a4802643ea0639e88b5541	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	unclassified_Methanospirillum
65e687ce6fb4503a871ffef86e46c412	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	unclassified_Iainarchaeales	unclassified_Iainarchaeales	unclassified_Iainarchaeales
a6c422ed19962f63dd67daf47eeac213	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales
31d76d18f2f5b4138a79e8c678659d94	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales
8afda251db869b678790b1a54102e975	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales
73e2d9bf5ad39750033dd5383511e0ad	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales
bd7908ecfbf28f5f96578311eddd0719	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales
a5042c7d8c37c60f17dc592ab013c112	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales
f70b4c4fea1ece37e83facd5ad7944ef	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales
6fd858380bcaa11d9b06da93ea6e5933	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales
dd637945f224916e48861564e86ed0bf	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales
f9598f69ca65644bef9c7f6c40f0b6cd	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales	unclassified_Woesearchaeales
6a44f0ed40d6e6c019305ae2c833bfb0	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_GW2011_GWC1_47_15	unclassified_Woesearchaeales_GW2011_GWC1_47_15	unclassified_Woesearchaeales_GW2011_GWC1_47_15
b3bed207a2dbc2b4f3cc990a4e06bac7	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_GW2011_GWC1_47_15	unclassified_Woesearchaeales_GW2011_GWC1_47_15	unclassified_Woesearchaeales_GW2011_GWC1_47_15
61f0686dcde8867ee1ce2ab45549e074	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_GW2011_GWC1_47_15	unclassified_Woesearchaeales_GW2011_GWC1_47_15	unclassified_Woesearchaeales_GW2011_GWC1_47_15
ecebac334a4080d0807c798ca8320701	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_SCGC_AAA011-D5	unclassified_Woesearchaeales_SCGC_AAA011-D5	unclassified_Woesearchaeales_SCGC_AAA011-D5
a93040815183ab9f81fb22cd391120b4	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_SCGC_AAA011-D5	unclassified_Woesearchaeales_SCGC_AAA011-D5	unclassified_Woesearchaeales_SCGC_AAA011-D5
d625f6b6cc7a19923f88debebb43ddde	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_SCGC_AAA011-D5	unclassified_Woesearchaeales_SCGC_AAA011-D5	unclassified_Woesearchaeales_SCGC_AAA011-D5
62c830f7b3346a2cc946950a183e34b7	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_SCGC_AAA011-D5	unclassified_Woesearchaeales_SCGC_AAA011-D5	unclassified_Woesearchaeales_SCGC_AAA011-D5
c5555655a76b57a7b15fe1cd6b7381c1	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_SCGC_AAA011-D5	unclassified_Woesearchaeales_SCGC_AAA011-D5	unclassified_Woesearchaeales_SCGC_AAA011-D5
189cf1bcb57bc55e9b90245b9f19c467	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_SCGC_AAA011-D5	unclassified_Woesearchaeales_SCGC_AAA011-D5	unclassified_Woesearchaeales_SCGC_AAA011-D5
8baebc69b9f1af71918577c45156349e	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_SCGC_AAA011-D5	unclassified_Woesearchaeales_SCGC_AAA011-D5	unclassified_Woesearchaeales_SCGC_AAA011-D5
fe80d3a591e0d021f8fdafcee9396425	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	Candidatus_Methanomassiliicoccus
4072e5e4d49ea088da614c3bfc29dc3d	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	Candidatus_Methanomassiliicoccus
42dc0d927650a707f55481b6c9ea1845	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	Candidatus_Methanomassiliicoccus
6d808360de0a2f2c61b8a359ef6b1195	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	Candidatus_Methanomassiliicoccus
3fd5a20bbc6461d0392a2bb59fcf0aa1	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	Candidatus_Methanomassiliicoccus
c21479b02a850ae44842e04f97cee5cc	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	unclassified_Methanomassiliicoccus
7811c87277530ef8bf93d7bda2d5ec8a	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	unclassified_Methanomassiliicoccus
f8b62a4d00562e41204461a43723fa0d	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	unclassified_Methanomassiliicoccus
ad424571fe203f4b8368b9d4644e8079	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	unclassified_Methanomassiliicoccus
dec75113711334a9ec0c0f9ce8f3a97e	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	unclassified_Methanomassiliicoccus
ab1700709831b5be090b5f6e9805d567	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Candidatus_Methanoplasma	unclassified_Candidatus_Methanoplasma
b04042e656b4f8d06261c5599eeded47	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Candidatus_Methanoplasma	unclassified_Candidatus_Methanoplasma
253e809c834af4ecc6e1381ceb42cced	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Candidatus_Methanoplasma	unclassified_Candidatus_Methanoplasma
2ea1e539e5aafdb80f95bd8f07405321	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Candidatus_Methanoplasma	unclassified_Candidatus_Methanoplasma
f730322e0d6a0ff9b0383a8946e49a65	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Methanomethylophilaceae_RumEn_M2	unclassified_Methanomethylophilaceae_RumEn_M2
2696f6111d57571b7bb6be2df7b5f295	Archaea	Thermoplasmatota	Thermoplasmata	unclassified_Thermoplasmata	unclassified_Thermoplasmata	unclassified_Thermoplasmata	unclassified_Thermoplasmata
3daff8350a7f0b8c93d0de722af43da6	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	unclassified_Abditibacterium
c454aa2ebfa6435c6afa492b9033cad2	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	unclassified_Abditibacterium
fdc16386d5e07e95a05c030c088aa125	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae	Acidobacteriae	Paludibaculum	unclassified_Paludibaculum
1ec12548cafe627d1212ffa9f9ef24c3	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae	Acidobacteriae	Paludibaculum	unclassified_Paludibaculum
fbe2766c2b216aec5ddef78de4695641	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae_Subgroup_12	unclassified_Acidobacteriae_Subgroup_12	unclassified_Acidobacteriae_Subgroup_12	unclassified_Acidobacteriae_Subgroup_12
17008817ae23d83b8547014f92d854bf	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae_Subgroup_12	unclassified_Acidobacteriae_Subgroup_12	unclassified_Acidobacteriae_Subgroup_12	unclassified_Acidobacteriae_Subgroup_12
b49784de1bc6109e8d7d329249f33a78	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae_Subgroup_12	unclassified_Acidobacteriae_Subgroup_12	unclassified_Acidobacteriae_Subgroup_12	unclassified_Acidobacteriae_Subgroup_12
0044d5323f5ead1b496197cf12c8a6a0	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae_Subgroup_13	unclassified_Acidobacteriae_Subgroup_13	unclassified_Acidobacteriae_Subgroup_13	unclassified_Acidobacteriae_Subgroup_13
1b5e69c9f4e8caf977af2374e4a2e5bd	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriae_Subgroup_2	unclassified_Acidobacteriae_Subgroup_2	unclassified_Acidobacteriae_Subgroup_2	unclassified_Acidobacteriae_Subgroup_2
add4deb6d0b9038e6c5a605989f2a26c	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidicapsa	unclassified_Acidicapsa
822d65411b3788173c6504d8fd1a15af	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	Granulicella_paludicola
701f55f7800b9b4042e722e4ba59c1a3	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	unclassified_Granulicella
3df4806b577dcca1c55cbad8e419a24c	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	unclassified_Granulicella
1ca64f415082b9076674e5b2efbe7944	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	unclassified_Acidobacteriaceae_(Subgroup_1)	unclassified_Acidobacteriaceae_(Subgroup_1)
146b7e7ec74e008494935cc5a55f4fb0	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	unclassified_Acidobacteriales	unclassified_Acidobacteriales	unclassified_Acidobacteriales
73e475970aa18cbda0cb348160afd22a	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	unclassified_Acidobacteriales	unclassified_Acidobacteriales	unclassified_Acidobacteriales
867d5202eed1aa390a3e5f9ae9c94498	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	unclassified_Acidobacteriales	unclassified_Acidobacteriales	unclassified_Acidobacteriales
e81c64d03d61deb2e4a89db9ca462ed9	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	unclassified_Bryobacter
9878a1c3ac966c0fd67671966afcfcec	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	unclassified_Bryobacter
b9fbeb908cb133c1d9c6e469fb951465	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	unclassified_Bryobacter
f927e7da80ded97709f804f92f62c48b	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	unclassified_Bryobacter
b3c54f2021638fbddb2cdd072248605e	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	unclassified_Bryobacter
68f663e2ed0d6b11ed5c69113a758536	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	unclassified_Bryobacter
dfd0d1163b99bad46ba57e0c1de7ef35	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	unclassified_Bryobacter
c722a811911383bb2413ad9234fbd57f	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	unclassified_Bryobacter
d1c57ead93a1ececec75471f78f9d01b	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	unclassified_Bryobacter
1c6895d39d8a3feb2f4a8b3b5aa2af6c	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	unclassified_Bryobacter
e07af1c8d6ba26edfdf4fd4a03637b22	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	unclassified_Bryobacter
739ad47d6f9b529b2176bea507340350	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	unclassified_Bryobacter
ff4080fe3be3be163f1d85c62c762417	Bacteria	Acidobacteriota	Acidobacteriae	Elev-16S-1166	unclassified_Elev-16S-1166	unclassified_Elev-16S-1166	unclassified_Elev-16S-1166
35b40b23030e6393f51e452282a36b9a	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	unclassified_Candidatus_Solibacter
cc36660d283f08f86161c01762e3f8c9	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	unclassified_Candidatus_Solibacter
3195410e25b889760c67cd82249c7460	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	unclassified_Candidatus_Solibacter
922fcaae659537c99e7ee74c1989ecdf	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	unclassified_Candidatus_Solibacter
16d7de41a0db6c81564fc2d41f4e0b9b	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	unclassified_Candidatus_Solibacter
1aedfbd9cfa86c0482a2ff457bf9fbd2	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	unclassified_Candidatus_Solibacter
