featureid	rab.all	rab.win.n	rab.win.x	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Streptococcus	13.8073035108326	13.5555577451198	13.9982024262906	0.393306983768077	0.786807843655045	0.456480575155972	0.311036812129612	0.117555789258161	0.89727286801499	0.106753599679348	0.901254675959978
Gemella	10.660839056583	10.5540097871487	10.7955088221466	0.205596258697268	1.17367528768695	0.154430908946406	0.425863998932241	0.687193702689691	0.96210105974126	0.560790908886372	0.965248358716372
Neisseria	10.385876836227	10.4808354913173	10.2728636875436	-0.303378904733646	1.55917189931557	-0.193531153041774	0.410714295287522	0.485824129875032	0.94487572366753	0.510317288251299	0.961550875665739
Granulicatella	10.3297920939872	10.3188482339373	10.3478493369933	0.122854375848084	1.10483072056415	0.0837224753461376	0.451505021792727	0.481696625169918	0.946024405372569	0.635949428536506	0.970797604997459
Haemophilus	10.3913805825327	10.2725183657408	10.508190144767	-0.0583916125177293	1.8169393496038	-0.0311438195991893	0.485491072935885	0.886141768997231	0.979674892482384	0.875014877913211	0.98630507638848
Rothia	9.5049601662716	8.92401602754865	9.81765071401809	0.654547144134342	1.89463822034451	0.303276662575231	0.377926434849234	0.474778127423296	0.943590727613257	0.25746363123048	0.948014674482368
Staphylococcus	0.88885231332411	0.882027297846146	0.894783383235299	0.0213906564541562	5.70642882799275	0.00331400193526352	0.497767857374561	0.637553315044634	0.952795073392554	0.675432020025849	0.970986123786628
Alloprevotella	8.22551572272219	7.90710858364985	8.44153485072196	0.421792306719638	3.21410817447934	0.114243969418346	0.436383935283511	0.715116570151513	0.961114917843256	0.527552534577225	0.963280594521351
Veillonella	8.81935199589303	9.14169692571482	8.55076214822614	-0.24834365032011	1.60452009632136	-0.153663973914387	0.443701232215656	0.698073907148174	0.960977954650467	0.572060752174652	0.964807934481022
Bergeyella	6.44104102623104	6.4372286990469	6.44848130851041	-0.116609553119304	3.19880044496062	-0.0247891182853164	0.486064661422108	0.59339698244429	0.953590226327607	0.899364884927247	0.986824452344707
Leptotrichia	7.78460502383405	7.87022428384768	7.75077373052571	-0.111553324240277	2.61400982309392	-0.042829117617495	0.481026787686569	0.818873107581619	0.974858000940248	0.82755046641411	0.983885606047717
Porphyromonas	8.87089677733328	9.09393636733986	8.61202402191182	-0.365110977982594	1.93777080318282	-0.174972011947737	0.389074705505754	0.209189708218851	0.922445406748878	0.358473320744169	0.954137148399197
Prevotella	6.43175194864505	6.66771351062567	6.09358772834874	-0.355222575285965	2.68352294886133	-0.112295091941575	0.437012269728053	0.458608316068641	0.943857862194052	0.662531903391699	0.971477251412148
Fusobacterium	7.91987802359123	8.58087218542028	7.27835755029055	-1.21752376588702	3.98248740228086	-0.218995181212881	0.337053590352442	0.307196609751922	0.931959335344403	0.153216897528188	0.930421325282148
Streptobacillus	5.79679061608982	4.87186899885506	6.01222202958691	1.22904559666459	5.44715141917704	0.217676043025233	0.414715728161113	0.41951962794275	0.938604450088061	0.480245964801397	0.959694437965878
Actinomyces	6.09646941246315	6.12990185864888	6.06926589311819	0.0397222322760564	3.12267718058434	0.00906453208828571	0.49553571474915	0.718770155875183	0.964542498986764	0.886283038176474	0.986796085568161
Actinobacillus	7.00251484850426	6.74109279269795	7.24663929121837	0.316658237425847	7.04420788210626	0.050480700190908	0.460937504079636	0.635587990808535	0.958898921875397	0.800596353386344	0.98072031491631
unclassified_Neisseriaceae	1.44307855819664	1.10870298927709	2.09339173612439	0.828012919519262	5.94980577725264	0.144190992983908	0.442586405133912	0.585951520368149	0.949862097352265	0.574792503559022	0.964888262126211
Acinetobacter	1.18720115591408	1.85338511225789	0.670708519915741	-1.17384687592907	5.33178646069129	-0.178816417192131	0.40468228449184	0.411505006855807	0.932250805124018	0.413819164441687	0.950427800527166
Flavobacterium	1.70676746441439	1.9596127852641	1.46920948387352	-0.518206268753053	5.13098797608568	-0.0888480687673474	0.453125004908827	0.578440582572301	0.954218658628367	0.631259356454384	0.969047454086104
Bifidobacterium	-0.243727817071423	-0.0483686531747205	-0.392613773037667	-0.292128618244274	4.71816678022769	-0.0523077565638835	0.473801563478923	0.513532260096301	0.940350164282362	0.489982131665935	0.941682904352898
