featureid	rab.all	rab.win.M01	rab.win.M02	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Streptococcus	15.1377382659808	15.104502666923	15.1782931658328	0.0511045492820168	0.696892912453663	0.061383364211069	0.46540178661644	0.615468204313361	0.952641455090607	0.563475577380951	0.952574417954586
Gemella	11.1572725949148	11.4914150888001	10.8757997344541	-0.643082866858655	2.49166475856781	-0.210762012504986	0.380580360429308	0.217392893473251	0.897706195942237	0.126698015895159	0.869493119715021
Neisseria	2.5262642434257	2.46891466136022	2.59420641959168	0.160086673819396	5.70221338716843	0.0326443048137608	0.48354712814585	0.667363942456025	0.95661630205561	0.68795524213596	0.966927740089283
Granulicatella	4.05969715246853	4.2490493461253	3.85280438322558	-0.0866794516103955	6.08488033317984	-0.0137629020788348	0.494143893068718	0.707107238277047	0.959819732248936	0.792426668186876	0.97681342102054
Haemophilus	5.4431042397337	5.61664690826679	5.27427901644909	-0.734528442936801	6.24288140271784	-0.106865672384467	0.448968211041145	0.441237877899107	0.933428510721363	0.524176127867396	0.955571611298743
Rothia	8.8435177535333	7.38693546904121	9.69580535966434	2.08554302070278	4.6995645588088	0.369610691714282	0.311767992299544	0.0431838822140213	0.762054293281241	0.0148502665277273	0.647019496534065
Staphylococcus	4.68210887887998	6.71451547794808	3.28361802788472	-3.40696036716246	6.75565398295182	-0.45526188057016	0.292968756484234	0.018867147600056	0.66315643462195	0.00932805458654952	0.564930104105411
Alloprevotella	1.41467497531588	1.99370014530895	0.951828897434463	-0.824242201323437	4.75190144892303	-0.157711766441224	0.426659232283108	0.460453969703081	0.915557418842202	0.380708891040124	0.90802872529266
Veillonella	6.73012981586522	7.56878194673328	6.18971863312834	-0.943065489810154	5.60237094567057	-0.147497778350883	0.421316966379413	0.563204973933824	0.948661476021801	0.326808067859246	0.9317358367242
Bergeyella	4.47222666232888	4.25792726318853	4.60065024689497	0.323906330056428	4.60440902594827	0.0588967326412836	0.46149553671945	0.490258043970183	0.9278176343919	0.6063683731997	0.954907593156849
Leptotrichia	1.44985348632022	1.95835608759486	0.917502681120566	-1.08472823410306	4.95391907520913	-0.199315867296406	0.393753488662317	0.31511676585111	0.871444180205499	0.257848849065464	0.862425076402461
Porphyromonas	2.0235338410943	2.16808345251281	1.8971915533318	-0.164870553603838	6.0316199921425	-0.0277069077794395	0.489955357403624	0.634815544299087	0.951089969947844	0.625027786035551	0.959035475829811
Prevotella	1.24233150962746	1.1835767438613	1.30579487978452	0.156085695137588	6.46928643665225	0.0191100324003589	0.490797546250891	0.617109432289758	0.950194641217834	0.628579752353319	0.958205114018233
Fusobacterium	0.946217429864907	0.837669378097152	1.08594127334437	0.267694679792681	5.12921671415963	0.0417685042671513	0.478527607919586	0.562177495809854	0.934556071711662	0.542810298421806	0.936782385558858
Streptobacillus	0.803440523069783	0.62938447531151	0.99098278897816	0.511488784177384	4.94491199946474	0.0823437220018779	0.4547991083255	0.50121450759235	0.926254693773227	0.513037908696309	0.937931478420681
Actinomyces	1.71096880826381	1.29513820197874	2.22691783694635	1.38026778402508	6.86243987053491	0.191119910489927	0.406250002521489	0.323043270862444	0.889200515816564	0.349337561155154	0.899210884286984
Actinobacillus	0.562314439961259	0.598753585805973	0.524010330108594	0.000584361190480109	4.66414016657034	0.000108825674842484	0.499721137765176	0.551077939320124	0.943025438292118	0.563963998150059	0.951183668415697
unclassified_Neisseriaceae	0.765928216011103	0.928079606534268	0.620180476906227	-0.286856685807748	4.21150398360875	-0.0589907820714394	0.47154017931237	0.49936017306659	0.915448218215643	0.49280665036184	0.934079085465235
Acinetobacter	1.27707840691633	1.08946804429234	1.46012184280303	0.473174707953746	4.45658857412169	0.0907878721782287	0.446428572834911	0.537185741195717	0.929656017881084	0.539578552127165	0.941976916430385
