"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.0580602605936418,0.0314486006207815,0.714334018928307,0.514
"Residual",22,1.78813510096642,0.968551399379219,NA,NA
"Total",23,1.84619536156006,1,NA,NA
