"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.181913961015711,0.0891476900389585,2.54469348725927,0.023
"Residual",26,1.85867689373569,0.910852309961041,NA,NA
"Total",27,2.0405908547514,1,NA,NA
