"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.554527757467585,0.20863895994292,7.1184347387793,0.001
"Residual",27,2.10330641511118,0.79136104005708,NA,NA
"Total",28,2.65783417257877,1,NA,NA
