"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.211039425019768,0.0763182812382958,2.14822408183614,0.042
"Residual",26,2.55421447739477,0.923681718761704,NA,NA
"Total",27,2.76525390241454,1,NA,NA
