"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.196986458132202,0.0528348534981835,1.56189858063607,0.102
"Residual",28,3.53135657851452,0.947165146501816,NA,NA
"Total",29,3.72834303664672,1,NA,NA
