"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.0968100163227185,0.0343554188897446,0.996175764593262,0.374
"Residual",28,2.7210865324985,0.965644581110255,NA,NA
"Total",29,2.81789654882122,1,NA,NA
