"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.191792750333752,0.0597719166375303,1.65286472513997,0.115
"Residual",26,3.01695077209374,0.94022808336247,NA,NA
"Total",27,3.20874352242749,1,NA,NA
