"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.194269313441846,0.0679856088471484,1.96950975896676,0.089
"Residual",27,2.66323710205,0.932014391152852,NA,NA
"Total",28,2.85750641549185,1,NA,NA
