OTU_ID	A_i26_S1	A_i04_S1	A_i26_S2	A_i27_S2	A_i04_S2	A_i08_S1	A_i28_S_M03	A_i29_S2	A_i28_S_M04	A_i09_S2	A_i26_S_M04	A_i26_S_M02	A_i15_S_M06	A_i24_S1	A_i04_S3	A_i29_S_M03	A_i11_S_M12	A_i24_S_M04	A_i01_S_M01	A_i16_S_M06	A_i26_S_M05	A_i26_S_M07	A_i24_S_M10	A_i22_S_M11	A_i26_S_M03	A_i28_S2	A_i10_S_M05	A_i24_S_M05	A_i06_S2	A_i16_S_M01	A_i26_S3	A_i01_S_M03	A_i06_S1	A_i05_S3	A_i27_S_M04	A_i04_S_M04	A_i09_S3	A_i29_S_M02	A_i31_S_M04	A_i31_S_M08	A_i28_S_M05	A_i24_S_M03	A_i28_S_M12	A_i10_S_M09	A_i14_S_M04	A_i25_S1	A_i18_S2	A_i30_S3	A_i02_S_M10	A_i10_S_M07	A_i21_S1	A_i16_S_M09	A_i20_S3	A_i19_S_M06	A_i31_S_M05	A_i26_S_M01	A_i19_S_M08	A_i09_S_M12-1	A_i32_S_M11	A_i26_S_M08	A_i12_S2	A_i01_S_M08	A_i32_S2	A_i09_S_M08	A_i32_S3	A_i31_S1	A_i01_S_M06	A_i31_S2	A_i31_S3	A_i06_S3	A_i24_S_M02	A_i18_S_M10	A_i25_S3	A_i03_S_M09	A_i01_S_M02	A_i22_S2	A_i06_S_M12	A_i08_S2	A_i05_S_M12	A_i03_S_M08	A_i26_S_M10	A_i07_S2	A_i25_S_M09	A_i23_S2	A_i30_S1	A_i16_S_M04	A_i27_S_M10	A_i30_S2	A_i12_S_M07	A_i18_S_M07	A_i10_S2	A_i05_S2	A_i08_S3	A_i23_S_M09	A_i14_S2	A_i14_S1	A_i29_S_M09	A_i18_S_M02	A_i12_S_M01	A_i04_S_M12	A_i24_S2	A_i07_S1	A_i07_S_M11	A_i18_S_M01	A_i03_S_M11	A_i11_S_M11	A_i18_S_M05	A_i24_S_M09	A_i09_S_M09	A_i12_S_M08	A_i01_S_M10	A_i23_S_M06	A_i30_S_M05	A_i31_S_M07	A_i09_S_M12-2	A_i21_S3	A_i01_S1	A_i08_S_M04	A_i32_S_M03	A_i05_S_M03	A_i22_S_M08	A_i27_S_M08	A_i07_S_M09	A_i25_S2	A_i05_S_M08	A_i32_S_M08	A_i32_S_M10	A_i02_S2	A_i19_S_M09	A_i29_S3	A_i04_S_M01	A_i08_S_M09	A_i14_S_M11	A_i27_S1
c72360e304518f898d28f7ed166fac72	0	0	0	0	0	0	0	0	0	0	0	11.60424028	0	0	0	11.44385027	0	37.39276389	0	0	0	18.50417771	0	0	18.7649489	0	34.42475891	25.57912704	0	0	0	12.22401723	0	0	0	0	0	48.5687904	10.17054264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.89078498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.56756757	0	0	0	0	60.37735849	0	0	0	87.09677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85fca7d0ba5e9b3a3198961bd9557f18	0	0	0	0	0	0	0	0	62.53997259	0	0	0	0	0	0	0	0	0	0	20.01203128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.89918256	0	0	0	0	0	0	0	0	0	0	28.1626506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.9047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.41176471	0	0	0	0	0	58.33333333	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
ccb5292751a96417f2b8233a1e83a761	28.56569647	0	0	0	0	0	0	0.261446672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42c662543a08f6a737a812b72e1f56a9	0	0	0	0	0	0	0	0	0	0	6.906524757	12.5795053	0	0	0	42.40641711	0	0	0	0	8.077314344	18.64683106	0	0	0	0	14.4202736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.37719613	0	0	0	0	0	0	0	0	0	0	0	0	74.39423707	0	28.46385542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.55671902	0	0	0	0	0	30.34188034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	77.77777778	0	35.29411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f0a53ba37bafefd6b4d406c82d32999b	0	0	0	0	0	0	47.15747107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.08536585	0	0	47.22222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bc3676c17839094c4fa8e33268905268	0	0	0	0	0	0	0	0	0	0	23.10273022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.4978675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	42.31927711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.62275449	32.62195122	0	0	0	0	0	38.75	0	0	0	0	0	0	0	0	0	0	63.33333333	18.96551724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
03d8acfd53d3b7eaed18d1696f11cce8	0	0	0	0	0	0	0	48.55533955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e36f07da238b3db236af3597f6ca7c0a	0	0	0	0	0	0	0	43.21914594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8aadafba01a8d5450e98490e29822754	0	0	0	0	0	30.64300895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c3e80b319a3ca07ffc1267acd5352eb8	0	0	0	0	0	0	0	0	0	0	0	0	0	86.83263779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a4ce085396c0e05282351f4f20f544b6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.76138387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.37349398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
