Feature ID	Taxon old	domain	phylum	class	order	family	genus	species
c2e4e846bb872c53c55211c5cbb89ff9	"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae"	Archaea	 Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	unclassified_Nitrososphaeraceae	unclassified_Nitrososphaeraceae
bf48cd54a159f347a4ad4aff2e2bd309	"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae"	Archaea	 Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	unclassified_Nitrososphaeraceae	unclassified_Nitrososphaeraceae
b48f5c44ab07f050eb286af37b6bcdc9	"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae"	Archaea	 Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	unclassified_Nitrososphaeraceae	unclassified_Nitrososphaeraceae
9d7b1963f8036854dd7b9aad0149310f	"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus_Nitrososphaera"	Archaea	 Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	unclassified_Nitrososphaeraceae	unclassified_Nitrososphaeraceae
c5b050391fe3c2c4738507350d861212	"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus_Nitrososphaera"	Archaea	 Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	unclassified_Nitrososphaeraceae	unclassified_Nitrososphaeraceae
41b7ceae39531e4c664c2041d6e5c2a1	"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaeraceae"	Archaea	 Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	unclassified_Nitrososphaeraceae	unclassified_Nitrososphaeraceae
8217768df9b73647e118636adb6336e0	"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaeraceae"	Archaea	 Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	unclassified_Nitrososphaeraceae	unclassified_Nitrososphaeraceae
290cfec8a1b48161bf75d96019f3510a	"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaeraceae"	Archaea	 Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	unclassified_Nitrososphaeraceae	unclassified_Nitrososphaeraceae
d8d3ec4b9b88889371d298f7af28a775	"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaeraceae"	Archaea	 Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	unclassified_Nitrososphaeraceae	unclassified_Nitrososphaeraceae
b2789a83c9850e727b07136e19260614	"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosotaleales; f__Nitrosotaleaceae; g__Nitrosotaleaceae"	Archaea	 Crenarchaeota	Nitrososphaeria	Nitrosotaleales	Nitrosotaleaceae	unclassified_Nitrosotaleaceae	unclassified_Nitrosotaleaceae
f467f8787adbb3e5fc9f1bc590118e1d	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
63e37c5bbd8782c760426391d6e20edc	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
5c3f15d45f5aaf966ab30d9fc85bf0a5	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
a4ce085396c0e05282351f4f20f544b6	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
51923273e674540444d3d776e552a09b	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
6c768f27a7c7163320147393a1554c46	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium; s__Methanobacterium_flexile"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium_flexile
8027c353c0f94440075006b5759eefa5	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium; s__Methanobacterium_flexile"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium_flexile
5d605e90764d3114e913b26fa8f4b03e	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium; s__Methanobacterium_sp."	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
8a2462cc701aafffd6c97d019c4dbd9b	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium; s__uncultured_archaeon"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
350e2ca44f40ce7ba455c4463730785e	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium; s__uncultured_Methanobacteriaceae"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
a6cf9a3f86453bed602ee0695632547d	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium; s__uncultured_Methanobacteriaceae"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	unclassified_Methanobacterium
44396f15b10f6577d61a11c6047c939f	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
cb42bb4821249ac864067ac87d1c1512	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
ceb1072b32f942ffb8de75d814f40e43	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
89c32f6edf292c4b26e5fa18d97c5abd	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
9c063bea02a54ab0ae7c3c0e9311c8ce	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
6265960fab1f14e1448f54905bb7ba13	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
53180bbc60e9a2d4a231c6ebcc03937c	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
d7151924984c95f737e821af3dbef692	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
3a0ac8e1c352dd3ef528478f071b8573	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
a7923249e33e9f1b5ecaa8c58f98f7ba	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
cca423e1a0fd0f6b639c96edc9704445	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
084a126ee076c8d06da3a9e2b06e65ce	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
9a9112c60816425ae4473319984d2c9c	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
735abcf20de3c3687087d4318632cf2c	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
bda2726e27aca3a3235f5760eb00d367	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
49b64281e4330cec46880604d1e2f3b3	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
b91f074022ac6505d07faa68c1c3295e	"d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter"	Archaea	 Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	unclassified_Methanobrevibacter
