featureid	rab.all	rab.win.n	rab.win.x	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Bifidobacterium	10.8709515220209	10.9120382256878	10.8701437439267	-0.196260577567029	1.08524715974169	-0.0820782763422616	0.44791678569462	0.253658803203402	0.746325486682897	0.738266941391941	0.944079244434172
Escherichia-Shigella	3.74914942483779	7.47312094671804	3.37068821540671	-2.96201422253654	6.05725056003175	-0.41090311803898	0.369791982420647	0.311535625654615	0.805579698863302	0.51943108974359	0.922768026452072
Bacteroides	1.57766120779031	0.181227889005379	1.67014353824921	0.65596964379558	9.19339817475672	0.0839099492356078	0.463541749522704	0.810160238326074	0.94352767231938	0.684056394993895	0.940764947139778
Enterococcus	2.58920959766883	9.7692546144622	1.93734277432922	-7.61803143014507	4.04617633817923	-1.82282706414553	0.0468807289310827	0.000609201864887318	0.0241954052729487	0.0099444826007326	0.383671374198718
[Ruminococcus]_gnavus_group	-0.29609340779371	-0.36301443113573	-0.281760652284828	0.0227073701003961	5.19173443524411	0.0036982899483782	0.497409332220818	0.515608044556242	0.857679801311134	0.588865995115995	0.917685299162016
Streptococcus	9.51443596111629	10.0909703633392	9.45317622117713	-0.161334854289483	2.59918819228923	-0.055486579987674	0.455958648521652	0.892523005222522	0.960815706150768	0.78937251984127	0.953996553910887
Staphylococcus	6.88963040216403	4.2303208605992	7.28630617830378	2.69761930537575	2.7596663066348	1.0000720715131	0.140626680483796	0.0455052886734607	0.421625458266862	0.0506333943833944	0.607952258615971
unclassified_Enterobacteriaceae	5.61360631508599	9.75487135186699	5.35379279875078	-0.894330939199765	10.024040770787	-0.119747513952893	0.421875181024094	0.739500567789154	0.923461235642176	0.792844742063492	0.95705144321232
Veillonella	5.23995324479588	7.13260356034571	4.91661360953894	-2.20642505174987	3.99439118895569	-0.451059226370032	0.29166723654711	0.205845598185593	0.736519372162676	0.265295902014652	0.849989506911248
Haemophilus	4.10335294226991	1.70726835256769	4.7304042961371	3.17620224569794	3.59818969586921	0.741327567452675	0.227980139005357	0.0966420448632562	0.492362944910718	0.174894116300366	0.777568652159349
Clostridium_sensu_stricto_1	2.79016496599209	3.02804059761922	2.65272061388339	-1.36461396162762	7.12190889385874	-0.180555222244184	0.375000301404768	0.733778714258191	0.930037697657734	0.677331349206349	0.943508126589283
Erysipelatoclostridium	-0.736061201150651	-1.70136446449542	-0.601110814871717	1.17435183299883	4.43281155672398	0.30521667356072	0.398963966228268	0.498077953806574	0.830121649343029	0.499093788156288	0.875039796005999
Lactobacillus	2.67850552697997	4.85698200612903	1.96135378768682	-3.64794370850574	4.78479065919595	-0.631106130578037	0.233161456450763	0.0902887047720592	0.566762364853335	0.183531746031746	0.811134477865532
Lachnoclostridium	-0.624070684032425	0.0596520959309839	-0.730162646901571	-0.695097415956017	4.42272642615019	-0.0971054300786121	0.41666686042708	0.572554219949981	0.851841912000051	0.59302980006105	0.90286892285837
Megasphaera	-0.964681472312107	-0.004129341123563	-1.02946254447175	-1.24271264679487	4.86538503002636	-0.244028414372536	0.388601298505214	0.537056165835924	0.819082746616328	0.537345467032967	0.857312858761082
Sutterella	-0.82845194205071	-1.14591851394578	-0.75889957464428	0.944654991871457	5.34264562729182	0.186629872250562	0.404145300346379	0.457183494168615	0.807353930958435	0.556290064102564	0.892554308867624
Intestinibacter	-1.05194659203654	-0.464358326986813	-1.15017228912875	-0.821302409213454	4.03210921936974	-0.165698001807375	0.406250219647385	0.412903296214695	0.724178800589811	0.50760264041514	0.885426917150843
Parabacteroides	-0.521375309931211	0.358886838060267	-0.602531843002117	-0.548010624804065	7.43449365205466	-0.0602774125459126	0.47395839236168	0.672348671475116	0.90771746413902	0.616739163614164	0.92671143577148
unclassified_Erysipelotrichaceae	-1.18292534022693	-1.48263782558937	-1.14366587707226	0.379909169952704	4.36684614075583	0.077130277383097	0.453125106902353	0.493365140130023	0.800023080764481	0.532604548229548	0.878027477267904
Tyzzerella	-1.08816401366423	-0.15305897878581	-1.17876004532309	-1.79936284021153	9.13122150674875	-0.228392729103775	0.375000301404768	0.523266734363088	0.868029686115767	0.520747481684982	0.886222558601148
