Sample ID	taxon
A_i21_M07	sample
A_i21_M08	sample
A_i21_M09	sample
A_i21_M10	sample
A_i21_M11	sample
A_i21_M12	sample
A_i22_M01	sample
A_i22_M02	sample
A_i22_M03	sample
A_i22_M04	sample
A_i22_M05	sample
A_i22_M06	sample
A_i22_M07	sample
A_i22_M08	sample
A_i22_M09	sample
A_i22_M10	sample
A_i22_M11	sample
A_i22_M12	sample
A_i23_M01	sample
A_i23_M02	sample
A_i23_M03	sample
A_i23_M04	sample
A_i23_M05	sample
A_i23_M06	sample
A_i23_M07	sample
A_i23_M08	sample
A_i23_M09	sample
A_i23_M10	sample
A_i23_M11	sample
A_i23_M12	sample
A_i24_M01	sample
A_i24_M02	sample
A_i24_M03	sample
A_i24_M04	sample
A_i24_M05	sample
A_i24_M06	sample
A_i24_M07	sample
A_i24_M08	sample
A_i24_M09	sample
A_i24_M10	sample
A_i24_M11	sample
A_i24_M12	sample
A_i24_M1_2	sample
A_i25_M01	sample
A_i25_M02	sample
A_i25_M03	sample
A_i25_M04	sample
A_i25_M05	sample
A_i25_M06	sample
A_i25_M07	sample
A_i25_M08	sample
A_i25_M09	sample
A_i25_M10	sample
A_i25_M11	sample
A_i25_M12	sample
A_i26_M01	sample
A_i26_M02	sample
A_i26_M03	sample
A_i26_M04	sample
A_i26_M05	sample
A_i26_M06	sample
A_i26_M07	sample
A_i26_M08	sample
A_i26_M09	sample
A_i26_M10	sample
A_i26_M11	sample
A_i26_M12	sample
A_i27_M01	sample
A_i27_M02	sample
A_i27_M03	sample
A_i27_M04	sample
A_i27_M05	sample
A_i27_M06	sample
A_i27_M07	sample
A_i27_M08	sample
A_i27_M09	sample
A_i27_M10	sample
A_i27_M11	sample
A_i27_M12	sample
A_i28_M01	sample
A_i28_M02	sample
A_i28_M03	sample
A_i28_M04	sample
A_i28_M05	sample
A_i28_M06	sample
A_i28_M07	sample
A_i28_M08	sample
A_i28_M09	sample
A_i28_M10	sample
A_i28_M11	sample
A_i28_M12	sample
A_i29_M01	sample
A_i29_M02	sample
A_i29_M03	sample
A_i29_M04	sample
A_i29_M05	sample
A_i29_M06	sample
A_i29_M08	sample
A_i29_M09	sample
A_i29_M10	sample
A_i29_M11	sample
A_i29_M12	sample
A_i30_M01	sample
A_i30_M02	sample
A_i30_M03	sample
A_i30_M04	sample
A_i30_M05	sample
A_i30_M06	sample
A_i30_M07	sample
A_i30_M08	sample
A_i30_M09	sample
A_i30_M10	sample
A_i30_M11	sample
A_i30_M12	sample
A_i31_M01	sample
A_i31_M02	sample
A_i31_M03	sample
A_i31_M04	sample
A_i31_M05	sample
A_i31_M06	sample
A_i31_M07	sample
A_i31_M08	sample
A_i31_M09	sample
A_i31_M10	sample
A_i31_M11	sample
A_i31_M12	sample
A_i32_M01	sample
A_i32_M02	sample
A_i32_M03	sample
A_i32_M04	sample
A_i32_M05	sample
A_i32_M06	sample
A_i32_M07	sample
A_i32_M08	sample
A_i32_M09	sample
A_i32_M10	sample
A_i32_M11	sample
A_i32_M12	sample
A_NC_batch1_4	control
A_NC_batch5_8	control
A_NC_batch9_12	control
A_NC_batchO13_16	control
A_NC_batchO16	control
A_PC	standard
