Sample ID	taxon
A_i22_S_M10	sample
A_i22_S_M11-1	sample
A_i22_S_M11-2	sample
A_i22_S_M11-3	sample
A_i22_S_M12	sample
A_i23_S_M01	sample
A_i23_S_M02	sample
A_i23_S_M03	sample
A_i23_S_M04	sample
A_i23_S_M05	sample
A_i23_S_M06	sample
A_i23_S_M07	sample
A_i23_S_M08	sample
A_i23_S_M09	sample
A_i23_S_M10	sample
A_i23_S_M11	sample
A_i23_S_M12	sample
A_i24_S_M01	sample
A_i24_S_M02	sample
A_i24_S_M03	sample
A_i24_S_M04	sample
A_i24_S_M05	sample
A_i24_S_M07	sample
A_i24_S_M08	sample
A_i24_S_M09	sample
A_i24_S_M10	sample
A_i24_S_M11	sample
A_i24_S_M12	sample
A_i25_S_M01	sample
A_i25_S_M02	sample
A_i25_S_M03	sample
A_i25_S_M04	sample
A_i25_S_M05	sample
A_i25_S_M06	sample
A_i25_S_M07	sample
A_i25_S_M08	sample
A_i25_S_M09	sample
A_i25_S_M10	sample
A_i25_S_M11	sample
A_i25_S_M12	sample
A_i26_S_M01	sample
A_i26_S_M02	sample
A_i26_S_M03	sample
A_i26_S_M04	sample
A_i26_S_M05	sample
A_i26_S_M07	sample
A_i26_S_M08	sample
A_i26_S_M09	sample
A_i26_S_M10	sample
A_i26_S_M11	sample
A_i26_S_M12	sample
A_i26_S_M6-1	sample
A_i26_S_M6-2	sample
A_i27_S_M01	sample
A_i27_S_M02	sample
A_i27_S_M03	sample
A_i27_S_M04	sample
A_i27_S_M05	sample
A_i27_S_M06	sample
A_i27_S_M08	sample
A_i27_S_M09	sample
A_i27_S_M10	sample
A_i27_S_M11	sample
A_i27_S_M12	sample
A_i27_S_M7-1	sample
A_i27_S_M7-2	sample
A_i28_S_M01	sample
A_i28_S_M02	sample
A_i28_S_M03	sample
A_i28_S_M04	sample
A_i28_S_M05	sample
A_i28_S_M06	sample
A_i28_S_M07	sample
A_i28_S_M08	sample
A_i28_S_M09	sample
A_i28_S_M10	sample
A_i28_S_M11	sample
A_i28_S_M12	sample
A_i29_S_M01	sample
A_i29_S_M02	sample
A_i29_S_M03	sample
A_i29_S_M04	sample
A_i29_S_M05	sample
A_i29_S_M06	sample
A_i29_S_M08	sample
A_i29_S_M09	sample
A_i29_S_M10	sample
A_i29_S_M11	sample
A_i29_S_M12	sample
A_i30_S_M01	sample
A_i30_S_M02	sample
A_i30_S_M03	sample
A_i30_S_M04	sample
A_i30_S_M05	sample
A_i30_S_M06	sample
A_i30_S_M07	sample
A_i30_S_M08	sample
A_i30_S_M09	sample
A_i30_S_M10	sample
A_i30_S_M11	sample
A_i30_S_M12	sample
A_i31_S_M01	sample
A_i31_S_M02	sample
A_i31_S_M03	sample
A_i31_S_M04	sample
A_i31_S_M05	sample
A_i31_S_M06	sample
A_i31_S_M07	sample
A_i31_S_M08	sample
A_i31_S_M09	sample
A_i31_S_M10	sample
A_i31_S_M11	sample
A_i31_S_M12	sample
A_i32_S_M01	sample
A_i32_S_M02	sample
A_i32_S_M03	sample
A_i32_S_M04	sample
A_i32_S_M05	sample
A_i32_S_M06	sample
A_i32_S_M07	sample
A_i32_S_M08	sample
A_i32_S_M09	sample
A_i32_S_M10	sample
A_i32_S_M11	sample
A_i32_S_M12	sample
A_S_NC-batch-13-16	control
A_S_NC-batch1-4	control
A_S_NC-batch16	control
A_S_NC-batch-5-8	control
A_S_NC-batch-9-12	control
A_S_PC	standard
A_i01_S1	sample
A_i01_S2	sample
A_i02_S2	sample
A_i02_S3	sample
A_i03_S1	sample
A_i03_S2	sample
A_i04_S1	sample
A_i04_S2	sample
A_i04_S3	sample
A_i05_S1	sample
A_i05_S2	sample
A_i05_S3	sample
A_i06_S1	sample
A_i06_S2	sample
A_i06_S3	sample
A_i07_S1	sample
A_i07_S2	sample
A_i07_S3	sample
A_i08_S1	sample
A_i08_S2	sample
A_i08_S3	sample
A_i09_S1	sample
A_i09_S2	sample
A_i09_S3	sample
A_i10_S1	sample
A_i10_S2	sample
A_i10_S3	sample
A_i11_S1	sample
A_i11_S2	sample
A_i12_S2	sample
A_i12_S3	sample
A_i14_S1	sample
A_i14_S2	sample
A_i14_S3	sample
A_i15_S3	sample
A_i16_S1	sample
A_i16_S2	sample
A_i16_S3	sample
A_i18_S1	sample
A_i18_S2	sample
A_i18_S3	sample
A_i19_S1	sample
A_i19_S3	sample
A_i20_S2	sample
A_i20_S3	sample
A_i21_S1	sample
A_i21_S3	sample
A_i22_S2	sample
A_i22_S3	sample
A_i23_S2	sample
A_i23_S3	sample
A_i24_S1	sample
A_i24_S2	sample
A_i24_S3	sample
A_i25_S1	sample
A_i25_S2	sample
A_i25_S3	sample
A_i26_S1	sample
A_i26_S2	sample
A_i26_S3	sample
A_i27_S1	sample
A_i27_S2	sample
A_i27_S3	sample
A_i28_S1	sample
A_i28_S2	sample
A_i28_S3	sample
A_i29_S1	sample
A_i29_S2	sample
A_i29_S3	sample
A_i30_S1	sample
A_i30_S2	sample
A_i30_S3	sample
A_i31_S1	sample
A_i31_S2	sample
A_i31_S3	sample
A_i32_S1	sample
A_i32_S2	sample
A_i32_S3	sample
A_Mock1	standard
A_Mock_Arch1	standard
A_Mock_Arch	standard
A_Mock	standard
A_NC_pre	control
A_NC_S1_S2	control
A_NC_S3	control
NegA_Swab3	control
Neg_stool2	control
Neg_Swab1	control
