SampleID	oral	Unknown
S_i27_S_M12	0.006999999999999999	0.993
S_i03_S_M12	0.0203	0.9796999999999999
S_i25_S_M12	0.005599999999999999	0.9944
S_i02_S_M12	0.034	0.9659999999999999
S_i15_S_M12	0.0802	0.9198000000000001
S_i16_S_M12	0.0013000000000000002	0.9987
S_i28_S_M12	0.015200000000000002	0.9848000000000001
S_i23_S_M12	0.020299999999999995	0.9797
S_i26_S_M12	0.0019000000000000002	0.9981
S_i10_S_M12	0.007799999999999999	0.9921999999999999
S_i19_S_M12	0.0032	0.9968
S_i05_S_M12	0.0047	0.9953
S_i07_S_M12	0.010099999999999998	0.9899000000000001
S_i11_S_M12	0.027800000000000002	0.9722000000000002
S_i20_S_M12	0.018899999999999997	0.9811
S_i30_S_M12	0.007300000000000001	0.9927000000000001
S_i06_S_M12	0.015099999999999999	0.9849
S_i12_S_M12	0.0091	0.9909000000000001
S_i24_S_M12	0.029300000000000003	0.9706999999999999
S_i21_S_M12	0.0050999999999999995	0.9949
S_i01_S_M12	0.0019000000000000002	0.9981
S_i04_S_M12	0.0419	0.9581
S_i22_S_M12	0.007800000000000001	0.9921999999999999
S_i29_S_M12	0.0017000000000000001	0.9982999999999999
S_i14_S_M12	0.010199999999999999	0.9897999999999998
S_i31_S_M12	0.0025	0.9974999999999999
S_i18_S_M12	0.006900000000000001	0.9930999999999999
