"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.353770395583256,0.0644519837490685,1.58452115816466,0.079
"Residual",23,5.13512808364112,0.935548016250932,NA,NA
"Total",24,5.48889847922437,1,NA,NA
