"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.358814701760461,0.0632148959347767,1.48457496231522,0.102
"Residual",22,5.31729527919522,0.936785104065223,NA,NA
"Total",23,5.67610998095568,1,NA,NA
