"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.171389338612286,0.0366192745736174,0.836246791488403,0.606
"Residual",22,4.50891469820673,0.963380725426382,NA,NA
"Total",23,4.68030403681902,1,NA,NA
