"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.389060739166428,0.0545679509703813,1.55837183403346,0.088
"Residual",27,6.74077888734995,0.945432049029619,NA,NA
"Total",28,7.12983962651638,1,NA,NA
