"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.405586931876475,0.0639094969623129,1.7068193928611,0.055
"Residual",25,5.94068320252385,0.936090503037687,NA,NA
"Total",26,6.34627013440033,1,NA,NA
