"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.321299445336519,0.0482093534879576,1.31693161230392,0.182
"Residual",26,6.34337083315576,0.951790646512042,NA,NA
"Total",27,6.66467027849228,1,NA,NA
