"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.431574243731799,0.0500049581661627,1.473838038091,0.087
"Residual",28,8.19905478904752,0.949995041833837,NA,NA
"Total",29,8.63062903277932,1,NA,NA
