"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.358362418894125,0.0621166060606864,1.52330444128562,0.09
"Residual",23,5.41082623484549,0.937883393939314,NA,NA
"Total",24,5.76918865373961,1,NA,NA
