"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.382038000843761,0.0534328632735489,1.52412570900689,0.089
"Residual",27,6.76783152585411,0.946567136726451,NA,NA
"Total",28,7.14986952669787,1,NA,NA
