"","Df","SumOfSqs","R2","F","Pr(>F)"
"breastfeeding",1,0.319706783372906,0.0386923746954714,1.04649304301895,0.36
"Residual",26,7.94307847830101,0.961307625304529,NA,NA
"Total",27,8.26278526167392,1,NA,NA
